Date,Billionaires,MSCI ACWI
02-Jan-2004,1,1
05-Jan-2004,0.999501,1
06-Jan-2004,1.005973,1.002093
07-Jan-2004,1.005621,1.000062
08-Jan-2004,1.003773,1.006939
09-Jan-2004,1.004051,1.005167
12-Jan-2004,1.011332,1.006233
13-Jan-2004,1.010378,1.003214
14-Jan-2004,1.019124,1.007491
15-Jan-2004,1.016811,1.00426
16-Jan-2004,1.021009,1.006951
20-Jan-2004,1.03294,1.012664
21-Jan-2004,1.03682,1.019363
22-Jan-2004,1.042639,1.020478
23-Jan-2004,1.046685,1.018932
26-Jan-2004,1.051708,1.02108
27-Jan-2004,1.042621,1.017425
28-Jan-2004,1.029042,1.009744
29-Jan-2004,1.030686,1.002082
30-Jan-2004,1.026981,1.000446
02-Feb-2004,1.021113,1.003466
03-Feb-2004,1.024694,1.005457
04-Feb-2004,1.020626,0.996839
05-Feb-2004,1.023864,0.999349
06-Feb-2004,1.031873,1.011657
09-Feb-2004,1.039833,1.014187
10-Feb-2004,1.044411,1.017722
11-Feb-2004,1.050427,1.024083
12-Feb-2004,1.047103,1.026263
13-Feb-2004,1.04826,1.023206
17-Feb-2004,1.051989,1.034042
18-Feb-2004,1.05004,1.031076
19-Feb-2004,1.041881,1.027846
20-Feb-2004,1.039899,1.019841
23-Feb-2004,1.031057,1.019349
24-Feb-2004,1.022957,1.016589
25-Feb-2004,1.023234,1.016653
26-Feb-2004,1.035286,1.015591
27-Feb-2004,1.039732,1.018554
01-Mar-2004,1.052813,1.030631
02-Mar-2004,1.048252,1.025301
03-Mar-2004,1.039415,1.019995
04-Mar-2004,1.044828,1.024689
05-Mar-2004,1.042704,1.032252
08-Mar-2004,1.038237,1.026084
09-Mar-2004,1.03159,1.022083
10-Mar-2004,1.025413,1.006739
11-Mar-2004,1.010909,0.989849
12-Mar-2004,1.014412,0.994013
15-Mar-2004,1.001542,0.983077
16-Mar-2004,1.01123,0.991819
17-Mar-2004,1.021494,1.001663
18-Mar-2004,1.013837,1.003313
19-Mar-2004,1.012463,0.997309
22-Mar-2004,0.993544,0.984057
23-Mar-2004,0.994223,0.982427
24-Mar-2004,1.000206,0.979983
25-Mar-2004,1.016158,0.992447
26-Mar-2004,1.013845,0.993318
29-Mar-2004,1.017082,1.005668
30-Mar-2004,1.022768,1.00905
31-Mar-2004,1.021707,1.012734
01-Apr-2004,1.029362,1.021579
02-Apr-2004,1.039941,1.026249
05-Apr-2004,1.04949,1.029999
06-Apr-2004,1.052516,1.029088
07-Apr-2004,1.047785,1.028552
08-Apr-2004,1.049006,1.027439
12-Apr-2004,1.051659,1.029694
13-Apr-2004,1.052533,1.019448
14-Apr-2004,1.044576,1.011262
15-Apr-2004,1.034537,1.009351
16-Apr-2004,1.039725,1.016609
19-Apr-2004,1.039605,1.016854
20-Apr-2004,1.033291,1.0095
21-Apr-2004,1.030973,1.006654
22-Apr-2004,1.039803,1.015034
23-Apr-2004,1.048326,1.017452
26-Apr-2004,1.038465,1.017162
27-Apr-2004,1.04122,1.017328
28-Apr-2004,1.033834,1.002367
29-Apr-2004,1.020965,0.996285
30-Apr-2004,1.012176,0.988948
03-May-2004,1.017161,0.994548
04-May-2004,1.019726,1.002088
05-May-2004,1.018627,1.006359
06-May-2004,1.00865,0.994536
07-May-2004,0.99266,0.979024
10-May-2004,0.962152,0.955546
11-May-2004,0.978643,0.962342
12-May-2004,0.979776,0.966417
13-May-2004,0.978124,0.963449
14-May-2004,0.970008,0.960628
17-May-2004,0.950728,0.950283
18-May-2004,0.966929,0.957371
19-May-2004,0.983237,0.968638
20-May-2004,0.984523,0.963074
21-May-2004,0.994701,0.970663
24-May-2004,1.003112,0.972618
25-May-2004,1.010358,0.981986
26-May-2004,1.013201,0.987154
27-May-2004,1.02155,0.997887
28-May-2004,1.022394,0.996205
01-Jun-2004,1.018196,0.995792
02-Jun-2004,1.021327,0.998898
03-Jun-2004,1.009615,0.991465
04-Jun-2004,1.01565,0.996836
07-Jun-2004,1.031383,1.014806
08-Jun-2004,1.032056,1.015779
09-Jun-2004,1.0247,1.005399
10-Jun-2004,1.027255,1.008731
14-Jun-2004,1.014793,0.995152
15-Jun-2004,1.024199,1.000995
16-Jun-2004,1.025998,1.004743
17-Jun-2004,1.026547,1.005853
18-Jun-2004,1.022948,1.008902
21-Jun-2004,1.020425,1.007644
22-Jun-2004,1.018334,1.005945
23-Jun-2004,1.024297,1.01199
24-Jun-2004,1.031299,1.017628
25-Jun-2004,1.039095,1.013437
28-Jun-2004,1.042623,1.016864
29-Jun-2004,1.04084,1.014462
30-Jun-2004,1.047548,1.016344
01-Jul-2004,1.046082,1.011025
