Date,Buy derivative,Sell derivative,All Buy,All Sell
2016-01-01,2,0,4,-10
2016-01-04,6,-1,124,-51
2016-01-05,1,-2,144,-53
2016-01-06,4,-4,144,-57
2016-01-07,3,0,124,-39
2016-01-08,4,0,162,-60
2016-01-11,2,-2,154,-47
2016-01-12,4,-1,155,-61
2016-01-13,5,-2,139,-78
2016-01-14,3,-2,146,-66
2016-01-15,5,-2,130,-69
2016-01-18,3,0,139,-57
2016-01-19,4,-4,123,-51
2016-01-20,5,-5,126,-42
2016-01-21,2,-2,112,-49
2016-01-22,1,0,99,-49
2016-01-25,1,-1,54,-39
2016-01-26,2,0,90,-42
2016-01-27,2,-2,96,-39
2016-01-28,2,0,98,-50
2016-01-29,5,-1,80,-81
2016-02-01,1,0,59,-42
2016-02-02,6,0,81,-61
2016-02-03,4,0,73,-40
2016-02-04,4,0,58,-44
2016-02-05,3,0,33,-22
2016-02-08,5,0,19,-17
2016-02-09,3,0,18,-9
2016-02-10,1,0,40,-22
2016-02-11,2,0,73,-37
2016-02-12,3,0,93,-39
2016-02-15,2,0,87,-46
2016-02-16,4,-1,109,-60
2016-02-17,0,-1,85,-56
2016-02-18,0,-1,77,-52
2016-02-19,4,-2,79,-55
2016-02-22,2,0,73,-41
2016-02-23,3,-1,89,-57
2016-02-24,3,-2,94,-46
2016-02-25,6,-3,105,-49
2016-02-26,5,-3,106,-43
2016-02-29,6,0,126,-61
2016-03-01,4,0,80,-50
2016-03-02,3,-1,113,-80
2016-03-03,2,-1,86,-73
2016-03-04,2,-1,91,-59
2016-03-07,4,0,84,-50
2016-03-08,4,0,101,-71
2016-03-09,5,-1,74,-71
2016-03-10,1,-2,68,-61
2016-03-11,5,0,66,-59
2016-03-14,3,-1,67,-74
2016-03-15,5,-2,80,-77
2016-03-16,5,-1,79,-58
2016-03-17,2,0,73,-69
2016-03-18,5,-1,79,-96
2016-03-21,2,-1,58,-67
2016-03-22,1,-2,49,-74
2016-03-23,1,-4,47,-74
2016-03-24,3,-2,53,-60
2016-03-25,2,-2,31,-47
2016-03-28,3,-2,47,-47
2016-03-29,3,0,73,-70
2016-03-30,6,-2,84,-77
2016-03-31,3,-2,73,-73
2016-04-01,6,-1,71,-44
2016-04-04,3,-1,54,-47
2016-04-05,2,0,71,-54
2016-04-06,2,0,68,-51
2016-04-07,1,-2,73,-54
2016-04-08,5,0,74,-49
2016-04-11,1,0,49,-36
2016-04-12,5,0,49,-39
2016-04-13,5,0,45,-39
2016-04-14,1,-1,53,-41
2016-04-15,7,-2,57,-56
2016-04-18,5,-1,58,-40
2016-04-19,3,0,59,-46
2016-04-20,2,-1,70,-57
2016-04-21,2,0,62,-62
2016-04-22,5,0,57,-56
2016-04-25,2,0,46,-47
2016-04-26,2,0,62,-64
2016-04-27,2,0,45,-52
2016-04-28,6,-1,56,-56
2016-04-29,5,-1,59,-63
2016-05-02,0,0,18,-30
2016-05-03,8,0,64,-80
2016-05-04,1,0,55,-75
2016-05-05,6,0,46,-69
2016-05-06,3,0,52,-55
2016-05-09,4,0,72,-52
2016-05-10,5,0,72,-55
2016-05-11,5,0,67,-66
2016-05-12,4,0,75,-57
2016-05-13,4,-1,61,-69
2016-05-16,3,-1,60,-58
2016-05-17,4,-2,77,-60
2016-05-18,5,-2,83,-64
2016-05-19,3,-1,76,-53
2016-05-20,7,0,69,-50
2016-05-23,2,-1,68,-53
2016-05-24,3,0,73,-60
2016-05-25,3,-2,67,-70
2016-05-26,4,-1,78,-79
2016-05-27,4,-2,65,-84
2016-05-30,3,-2,71,-56
2016-05-31,5,-1,66,-100
2016-06-01,2,-1,62,-91
2016-06-02,7,0,69,-81
2016-06-03,3,0,58,-94
2016-06-06,1,0,55,-69
2016-06-07,6,-1,70,-85
2016-06-08,8,0,76,-98
2016-06-09,5,-2,48,-58
2016-06-10,5,-2,82,-50
2016-06-13,5,-3,88,-78
2016-06-14,7,-2,88,-79
2016-06-15,3,-3,71,-105
2016-06-16,2,-1,80,-72
2016-06-17,5,-3,88,-95
2016-06-20,3,-3,68,-84
2016-06-21,5,-1,90,-85
2016-06-22,3,-2,57,-78
