Date,Filings
2016-01-01,158
2016-01-04,409
2016-01-05,405
2016-01-06,406
2016-01-07,319
2016-01-08,436
2016-01-11,432
2016-01-12,420
2016-01-13,397
2016-01-14,405
2016-01-15,437
2016-01-18,407
2016-01-19,338
2016-01-20,402
2016-01-21,346
2016-01-22,433
2016-01-25,289
2016-01-26,236
2016-01-27,328
2016-01-28,582
2016-01-29,364
2016-02-01,316
2016-02-02,365
2016-02-03,319
2016-02-04,399
2016-02-05,375
2016-02-08,115
2016-02-09,124
2016-02-10,144
2016-02-11,223
2016-02-12,294
2016-02-15,376
2016-02-16,393
2016-02-17,419
2016-02-18,405
2016-02-19,320
2016-02-22,335
2016-02-23,460
2016-02-24,397
2016-02-25,708
2016-02-26,449
2016-02-29,543
2016-03-01,556
2016-03-02,492
2016-03-03,355
2016-03-04,411
2016-03-07,314
2016-03-08,406
2016-03-09,407
2016-03-10,470
2016-03-11,459
2016-03-14,548
2016-03-15,594
2016-03-16,446
2016-03-17,387
2016-03-18,486
2016-03-21,551
2016-03-22,504
2016-03-23,608
2016-03-24,436
2016-03-25,143
2016-03-28,353
2016-03-29,409
2016-03-30,604
2016-03-31,544
2016-04-01,476
2016-04-04,303
2016-04-05,337
2016-04-06,312
2016-04-07,362
2016-04-08,407
2016-04-11,260
2016-04-12,312
2016-04-13,331
2016-04-14,302
2016-04-15,323
2016-04-18,300
2016-04-19,296
2016-04-20,299
2016-04-21,430
2016-04-22,317
2016-04-25,269
2016-04-26,412
2016-04-27,628
2016-04-28,334
2016-04-29,409
2016-05-02,261
2016-05-03,462
2016-05-04,353
2016-05-05,367
2016-05-06,283
2016-05-09,521
2016-05-10,428
2016-05-11,451
2016-05-12,380
2016-05-13,309
2016-05-16,357
2016-05-17,525
2016-05-18,364
2016-05-19,287
2016-05-20,322
2016-05-23,309
2016-05-24,384
2016-05-25,477
2016-05-26,541
2016-05-27,1211
2016-05-30,398
2016-05-31,595
2016-06-01,500
2016-06-02,426
2016-06-03,447
2016-06-06,388
2016-06-07,445
2016-06-08,489
2016-06-09,393
2016-06-10,368
2016-06-13,461
2016-06-14,426
2016-06-15,507
2016-06-16,399
2016-06-17,468
2016-06-20,388
2016-06-21,406
2016-06-22,410
2016-06-23,647
2016-06-24,1254
2016-06-27,463
2016-06-28,482
2016-06-29,510
2016-06-30,676
2016-07-01,440
2016-07-04,345
2016-07-05,293
2016-07-06,160
2016-07-07,266
2016-07-08,305
2016-07-11,423
2016-07-12,326
2016-07-13,406
2016-07-14,368
2016-07-15,420
2016-07-18,312
2016-07-19,346
2016-07-20,342
2016-07-21,374
2016-07-22,382
2016-07-25,981
2016-07-26,394
2016-07-27,277
2016-07-28,398
2016-07-29,1592
2016-08-01,511
2016-08-02,441
2016-08-03,375
2016-08-04,316
2016-08-05,390
2016-08-08,421
2016-08-09,268
2016-08-10,316
2016-08-11,339
2016-08-12,538
2016-08-15,204
2016-08-16,376
2016-08-17,375
2016-08-18,436
2016-08-19,381
2016-08-22,665
2016-08-23,373
2016-08-24,449
2016-08-25,546
2016-08-26,1296
2016-08-29,465
2016-08-30,707
2016-08-31,899
2016-09-01,820
2016-09-02,591
2016-09-05,277
2016-09-06,739
2016-09-07,423
2016-09-08,439
2016-09-09,395
2016-09-12,289
2016-09-13,284
2016-09-14,463
2016-09-15,356
2016-09-16,263
2016-09-19,380
2016-09-20,401
2016-09-21,442
2016-09-22,658
2016-09-23,1388
2016-09-26,380
2016-09-27,399
2016-09-28,405
2016-09-29,378
2016-09-30,419
2016-10-03,248
2016-10-04,279
2016-10-05,313
2016-10-06,393
2016-10-07,321
2016-10-10,183
2016-10-11,216
2016-10-12,263
2016-10-13,272
2016-10-14,305
2016-10-17,271
2016-10-18,279
2016-10-19,330
2016-10-20,208
2016-10-21,247
2016-10-24,261
2016-10-25,299
2016-10-26,313
2016-10-27,332
2016-10-28,1119
2016-10-31,237
2016-11-01,434
2016-11-02,390
2016-11-03,348
2016-11-04,394
2016-11-07,395
2016-11-08,289
2016-11-09,339
2016-11-10,469
2016-11-11,411
2016-11-14,453
2016-11-15,365
2016-11-16,418
2016-11-17,334
2016-11-18,299
2016-11-21,321
2016-11-22,356
2016-11-23,352
2016-11-24,419
2016-11-25,359
2016-11-28,362
2016-11-29,1128
2016-11-30,331
2016-12-01,497
2016-12-02,341
2016-12-05,299
2016-12-06,357
2016-12-07,321
2016-12-08,451
2016-12-09,402
2016-12-12,250
2016-12-13,323
2016-12-14,323
2016-12-15,384
2016-12-16,465
2016-12-19,398
2016-12-20,448
2016-12-21,318
2016-12-22,389
2016-12-23,857
2016-12-26,217
2016-12-27,307
2016-12-28,420
2016-12-29,431
2016-12-30,534
2017-01-02,123
2017-01-03,249
2017-01-04,250
2017-01-05,296
2017-01-06,264
2017-01-09,263
2017-01-10,273
2017-01-11,292
2017-01-12,331
2017-01-13,427
2017-01-16,312
2017-01-17,268
2017-01-18,434
2017-01-19,327
2017-01-20,310
2017-01-23,324
2017-01-24,361
2017-01-25,418
2017-01-26,217
2017-01-27,743
2017-01-30,199
2017-01-31,318
2017-02-01,478
2017-02-02,412
2017-02-03,320
2017-02-06,392
2017-02-07,415
2017-02-08,347
2017-02-09,390
2017-02-10,364
2017-02-13,419
2017-02-14,482
2017-02-15,366
2017-02-16,379
2017-02-17,572
2017-02-20,375
2017-02-21,439
2017-02-22,967
2017-02-23,561
2017-02-24,281
2017-02-27,406
2017-02-28,399
2017-03-01,417
2017-03-02,328
2017-03-03,418
