Date,% 1-10B,% >10B
2016 - Jan,30.81,-7.24
2016 - Jan,21.80,-4.81
2016 - Jan,16.78,-4.71
2016 - Jan,3.20,-4.60
2016 - Jan,-5.23,-4.67
2016 - Jan,-14.82,-4.68
2016 - Jan,-25.10,5.78
2016 - Jan,-21.77,5.66
2016 - Jan,-23.88,5.90
2016 - Jan,-21.20,3.81
2016 - Jan,-26.94,4.13
2016 - Jan,-36.04,2.50
2016 - Jan,-37.63,-6.41
2016 - Jan,-34.89,-11.43
2016 - Jan,-28.17,-13.82
2016 - Jan,-28.55,-19.11
2016 - Jan,-17.18,-16.76
2016 - Jan,-18.69,-14.55
2016 - Jan,-16.20,-7.21
2016 - Jan,-7.95,-6.92
2016 - Jan,12.38,-7.30
2016 - Feb,30.40,-1.51
2016 - Feb,14.65,-6.04
2016 - Feb,20.76,-10.82
2016 - Feb,16.22,-9.89
2016 - Feb,12.94,-3.98
2016 - Feb,22.72,-10.43
2016 - Feb,11.34,-2.12
2016 - Feb,22.32,-13.55
2016 - Feb,23.24,-12.95
2016 - Feb,32.99,-28.59
2016 - Feb,38.98,-37.36
2016 - Feb,39.67,-38.82
2016 - Feb,42.06,-35.33
2016 - Feb,48.83,-34.97
2016 - Feb,39.18,-40.36
2016 - Feb,33.49,-34.27
2016 - Feb,32.38,-30.44
2016 - Feb,27.39,-25.09
2016 - Feb,24.61,-23.41
2016 - Feb,26.55,-26.10
2016 - Feb,19.70,-17.30
2016 - Mar,11.40,-12.76
2016 - Mar,19.34,-20.65
2016 - Mar,17.14,-18.85
2016 - Mar,23.77,-24.65
2016 - Mar,30.05,-29.61
2016 - Mar,22.62,-18.07
2016 - Mar,18.48,-15.25
2016 - Mar,17.69,-14.25
2016 - Mar,10.61,-11.27
2016 - Mar,9.23,-9.06
2016 - Mar,13.11,-10.54
2016 - Mar,6.99,-6.00
2016 - Mar,18.34,-19.54
2016 - Mar,13.86,-15.18
2016 - Mar,19.38,-18.68
2016 - Mar,16.71,-15.03
2016 - Mar,25.48,-21.30
2016 - Mar,31.91,-29.36
2016 - Mar,0.00,0.00
2016 - Mar,19.73,-26.38
2016 - Mar,28.98,-27.81
2016 - Mar,25.24,-27.41
2016 - Mar,24.84,-24.38
2016 - Apr,25.39,-25.32
2016 - Apr,33.49,-30.42
2016 - Apr,28.22,-26.98
2016 - Apr,37.28,-35.29
2016 - Apr,25.53,-23.40
2016 - Apr,22.41,-25.55
2016 - Apr,19.31,-23.27
2016 - Apr,18.80,-23.09
2016 - Apr,11.85,-19.09
2016 - Apr,8.56,-15.23
2016 - Apr,10.22,-12.27
2016 - Apr,0.35,-24.28
2016 - Apr,1.63,-25.48
2016 - Apr,0.23,-24.37
2016 - Apr,-4.21,-21.61
2016 - Apr,-5.86,-24.91
2016 - Apr,-19.01,-28.23
2016 - Apr,-15.36,-31.66
2016 - Apr,-6.15,-31.08
2016 - Apr,-4.26,-31.67
2016 - Apr,-9.88,-30.12
2016 - May,-20.84,-33.73
2016 - May,-22.13,-26.46
2016 - May,-25.32,-22.34
2016 - May,-38.07,-22.75
2016 - May,-23.01,-23.06
2016 - May,-13.95,-32.60
2016 - May,-16.59,-25.39
2016 - May,-16.51,-9.44
2016 - May,-10.18,-11.66
2016 - May,4.98,-11.31
2016 - May,18.40,-9.95
2016 - May,19.08,-13.89
2016 - May,32.92,-15.58
2016 - May,34.42,-15.67
2016 - May,54.32,-28.73
2016 - May,58.76,-28.84
2016 - May,58.03,-25.19
2016 - May,57.93,-12.12
2016 - May,58.10,-9.28
2016 - May,55.88,1.15
2016 - May,0.00,0.00
2016 - May,61.75,13.09
2016 - Jun,65.78,14.19
2016 - Jun,67.26,16.27
2016 - Jun,64.58,18.01
2016 - Jun,61.71,17.72
2016 - Jun,60.34,14.56
2016 - Jun,59.00,13.41
2016 - Jun,53.00,13.44
2016 - Jun,50.93,15.68
2016 - Jun,49.19,0.85
2016 - Jun,39.82,0.84
2016 - Jun,54.63,3.47
2016 - Jun,59.33,3.49
2016 - Jun,62.79,0.59
2016 - Jun,57.44,1.55
2016 - Jun,57.46,-0.17
2016 - Jun,58.27,-1.21
2016 - Jun,63.56,-2.31
2016 - Jun,53.24,-2.35
2016 - Jun,43.01,-4.02
2016 - Jun,41.97,-3.97
2016 - Jun,43.32,-4.05
2016 - Jun,47.30,-1.28
2016 - Jul,47.48,-3.70
2016 - Jul,0.00,0.00
2016 - Jul,50.80,-2.41
2016 - Jul,64.85,-8.68
2016 - Jul,62.88,-8.87
2016 - Jul,68.19,-13.93
2016 - Jul,73.34,-16.39
2016 - Jul,70.28,-8.06
2016 - Jul,67.53,-5.58
2016 - Jul,64.92,-11.82
2016 - Jul,65.04,-14.27
2016 - Jul,59.00,-14.28
2016 - Jul,63.74,-14.19
2016 - Jul,78.91,-9.36
2016 - Jul,71.00,-15.26
2016 - Jul,64.48,-7.74
2016 - Jul,45.02,-7.38
2016 - Jul,42.85,-9.87
