date,Buy,Sell,All Buy (cash and derivative)
2016-01-01,1,-6,45
2016-01-04,22,-167,150
2016-01-05,6,-65,60
2016-01-06,19,-46,62
2016-01-07,18,-24,42
2016-01-08,19,-32,54
2016-01-11,22,-36,62
2016-01-12,22,-33,48
2016-01-13,17,-49,56
2016-01-14,8,-16,23
2016-01-15,16,-40,55
2016-01-19,11,-38,34
2016-01-20,18,-42,52
2016-01-21,12,-22,48
2016-01-22,10,-24,43
2016-01-25,16,-30,41
2016-01-26,20,-31,52
2016-01-27,16,-35,50
2016-01-28,19,-25,44
2016-01-29,29,-48,74
2016-02-01,34,-133,119
2016-02-02,32,-43,67
2016-02-03,35,-51,79
2016-02-04,30,-60,80
2016-02-05,33,-56,97
2016-02-08,44,-57,95
2016-02-09,36,-60,91
2016-02-10,34,-71,87
2016-02-11,42,-19,57
2016-02-12,38,-37,74
2016-02-15,1,-15,36
2016-02-16,40,-154,133
2016-02-17,33,-120,110
2016-02-18,34,-75,102
2016-02-19,35,-90,107
2016-02-22,27,-123,119
2016-02-23,22,-86,80
2016-02-24,40,-95,114
2016-02-25,27,-98,89
2016-02-26,27,-115,122
2016-02-29,36,-146,119
2016-03-01,42,-229,193
2016-03-02,23,-121,98
2016-03-03,35,-134,114
2016-03-04,32,-140,114
2016-03-07,28,-153,103
2016-03-08,31,-99,83
2016-03-09,23,-118,110
2016-03-10,25,-95,82
2016-03-11,19,-120,87
2016-03-14,24,-116,97
2016-03-15,34,-127,123
2016-03-16,16,-95,63
2016-03-17,17,-90,71
2016-03-18,10,-87,62
2016-03-21,15,-72,56
2016-03-22,9,-64,41
2016-03-23,6,-42,30
2016-03-24,13,-36,39
2016-03-28,9,-62,48
2016-03-29,10,-80,54
2016-03-30,11,-79,54
2016-03-31,11,-79,66
2016-04-01,11,-121,119
2016-04-04,4,-88,58
2016-04-05,5,-56,35
2016-04-06,8,-57,35
2016-04-07,1,-41,25
2016-04-08,7,-22,26
2016-04-11,7,-58,36
2016-04-12,3,-49,36
2016-04-13,1,-65,44
2016-04-14,3,-53,42
2016-04-15,11,-91,72
2016-04-18,2,-56,49
2016-04-19,3,-46,35
2016-04-20,1,-67,46
2016-04-21,5,-45,32
2016-04-22,3,-55,45
2016-04-25,10,-79,62
2016-04-26,8,-80,58
2016-04-27,7,-82,65
2016-04-28,13,-77,61
2016-04-29,13,-74,69
2016-05-02,29,-186,148
2016-05-03,26,-90,94
2016-05-04,22,-94,84
2016-05-05,26,-93,95
2016-05-06,21,-103,97
2016-05-09,21,-130,107
2016-05-10,32,-163,130
2016-05-11,23,-117,100
2016-05-12,36,-111,124
2016-05-13,32,-101,92
2016-05-16,25,-174,122
2016-05-17,31,-100,80
2016-05-18,19,-77,60
2016-05-19,30,-70,77
2016-05-20,21,-93,81
2016-05-23,16,-113,76
2016-05-24,14,-165,93
2016-05-25,19,-144,88
2016-05-26,9,-54,37
2016-05-27,5,-61,35
2016-05-31,21,-148,106
2016-06-01,20,-197,141
2016-06-02,15,-118,77
2016-06-03,17,-114,80
2016-06-06,12,-160,90
2016-06-07,10,-107,79
2016-06-08,12,-137,92
2016-06-09,16,-103,80
2016-06-10,18,-91,71
2016-06-13,25,-97,82
2016-06-14,20,-68,61
2016-06-15,19,-119,96
2016-06-16,18,-60,59
2016-06-17,15,-44,39
2016-06-20,9,-84,52
2016-06-21,5,-45,34
2016-06-22,5,-48,29
2016-06-23,5,-66,45
2016-06-24,14,-24,37
2016-06-27,15,-46,45
2016-06-28,13,-44,40
2016-06-29,9,-53,44
2016-06-30,7,-37,37
2016-07-01,5,-85,55
2016-07-04,0,0,1
2016-07-05,4,-76,55
2016-07-06,3,-54,41
2016-07-07,6,-32,27
2016-07-08,3,-53,41
2016-07-11,5,-79,56
2016-07-12,0,-69,36
2016-07-13,5,-56,41
2016-07-14,3,-50,26
2016-07-15,14,-83,74
2016-07-18,4,-44,34
2016-07-19,3,-26,16
2016-07-20,4,-61,33
2016-07-21,5,-38,33
2016-07-22,4,-51,42
2016-07-25,3,-85,57
2016-07-26,6,-87,61
2016-07-27,5,-87,57
2016-07-28,6,-92,61
2016-07-29,9,-103,65
2016-08-01,22,-230,170
2016-08-02,16,-110,79
2016-08-03,17,-104,76
2016-08-04,14,-124,92
2016-08-05,13,-179,122
2016-08-08,31,-162,132
2016-08-09,22,-154,110
2016-08-10,14,-153,91
2016-08-11,24,-161,103
2016-08-12,23,-141,97
2016-08-15,20,-240,169
2016-08-16,25,-126,80
2016-08-17,17,-127,83
2016-08-18,13,-125,72
2016-08-19,23,-126,89
2016-08-22,18,-143,92
2016-08-23,15,-140,94
2016-08-24,12,-117,63
2016-08-25,18,-115,80
2016-08-26,19,-112,86
2016-08-29,14,-139,80
2016-08-30,9,-121,73
2016-08-31,13,-95,66
2016-09-01,3,-120,57
2016-09-02,9,-70,37
2016-09-06,14,-166,99
2016-09-07,12,-122,77
2016-09-08,13,-86,64
2016-09-09,29,-56,67
2016-09-12,21,-109,74
2016-09-13,16,-60,48
2016-09-14,13,-83,58
2016-09-15,22,-108,99
2016-09-16,13,-65,53
2016-09-19,15,-80,58
2016-09-20,14,-61,51
2016-09-21,8,-69,45
2016-09-22,7,-79,54
2016-09-23,5,-45,36
2016-09-26,9,-61,42
2016-09-27,6,-41,30
2016-09-28,8,-55,43
2016-09-29,7,-42,33
2016-09-30,15,-57,67
2016-10-03,13,-173,103
2016-10-04,9,-51,34
2016-10-05,6,-69,44
2016-10-06,7,-24,19
2016-10-07,7,-29,24
2016-10-10,4,-60,43
2016-10-11,11,-29,33
2016-10-12,1,-33,20
2016-10-13,10,-26,22
2016-10-14,7,-28,21
2016-10-17,13,-71,53
2016-10-18,4,-33,22
2016-10-19,3,-38,21
2016-10-20,8,-50,39
2016-10-21,10,-36,33
2016-10-24,8,-53,30
2016-10-25,9,-54,39
2016-10-26,5,-59,34
2016-10-27,13,-64,59
2016-10-28,17,-52,65
2016-10-31,20,-88,85
2016-11-01,21,-155,115
2016-11-02,22,-85,65
2016-11-03,24,-77,70
2016-11-04,35,-84,84
2016-11-07,30,-164,128
2016-11-08,24,-122,82
2016-11-09,27,-103,80
2016-11-10,35,-181,144
2016-11-11,27,-167,131
2016-11-14,32,-233,189
2016-11-15,22,-225,153
2016-11-16,12,-149,96
2016-11-17,22,-159,96
2016-11-18,25,-163,122
2016-11-21,30,-172,127
2016-11-22,13,-135,90
2016-11-23,6,-41,16
2016-11-25,7,-62,37
2016-11-28,22,-140,86
2016-11-29,14,-120,79
2016-11-30,9,-133,88
2016-12-01,34,-210,153
2016-12-02,19,-83,70
2016-12-05,19,-166,110
2016-12-06,15,-135,90
2016-12-07,18,-175,108
2016-12-08,8,-177,90
2016-12-09,37,-166,119
2016-12-12,13,-152,98
2016-12-13,19,-154,105
2016-12-14,21,-116,95
2016-12-15,20,-167,117
2016-12-16,19,-97,74
2016-12-19,11,-85,54
2016-12-20,16,-83,64
2016-12-21,7,-72,47
2016-12-22,10,-34,26
2016-12-23,8,-27,28
2016-12-27,5,-57,31
2016-12-28,9,-39,33
2016-12-29,3,-11,6
2016-12-30,5,-22,17
2017-01-03,12,-205,171
2017-01-04,3,-90,69
2017-01-05,5,-68,54
2017-01-06,7,-45,56
2017-01-09,12,-76,65
2017-01-10,6,-62,52
2017-01-11,6,-51,43
2017-01-12,0,-19,16
2017-01-13,4,-25,22
2017-01-17,6,-119,76
2017-01-18,4,-50,43
2017-01-19,7,-41,34
2017-01-20,6,-44,46
2017-01-23,6,-48,47
2017-01-24,5,-60,45
2017-01-25,5,-87,78
2017-01-26,5,-64,65
2017-01-27,8,-58,55
2017-01-30,9,-96,74
2017-01-31,10,-43,39
2017-02-01,6,-143,103
2017-02-02,13,-66,68
2017-02-03,14,-108,104
2017-02-06,10,-123,108
2017-02-07,10,-118,83
2017-02-08,14,-88,71
2017-02-09,20,-116,113
2017-02-10,21,-158,142
2017-02-13,21,-168,139
2017-02-14,15,-148,109
2017-02-15,13,-210,168
2017-02-16,12,-68,51
2017-02-17,5,-95,65
2017-02-21,22,-205,147
2017-02-22,13,-150,98
2017-02-23,13,-135,115
2017-02-24,15,-131,117
2017-02-27,22,-209,152
2017-02-28,23,-192,145
2017-03-01,28,-299,243
2017-03-02,20,-162,118
2017-03-03,26,-158,119
2017-03-06,23,-158,102
2017-03-07,28,-153,107
2017-03-08,22,-138,107
2017-03-09,32,-108,91
2017-03-10,32,-140,117
2017-03-13,35,-168,122
2017-03-14,32,-117,96
2017-03-15,29,-200,140
2017-03-16,17,-128,78
2017-03-17,20,-90,67
2017-03-20,10,-102,74
2017-03-21,20,-73,60
2017-03-22,19,-54,41
2017-03-23,17,-52,45
2017-03-24,18,-49,48
2017-03-27,8,-67,43
2017-03-28,12,-55,44
2017-03-29,5,-58,40
2017-03-30,7,-58,38
2017-03-31,12,-75,82
2017-04-03,10,-181,107
2017-04-04,8,-50,43
2017-04-05,4,-62,35
2017-04-06,7,-45,25
2017-04-07,7,-32,32
2017-04-10,7,-73,49
2017-04-11,6,-46,28
2017-04-12,6,-45,39
2017-04-13,7,-31,23
2017-04-17,15,-100,74
2017-04-18,5,-43,35
2017-04-19,7,-52,39
2017-04-20,9,-56,40
2017-04-21,8,-50,44
2017-04-24,14,-104,81
2017-04-25,9,-80,55
2017-04-26,9,-74,55
2017-04-27,15,-101,87
