Date,Buy derivative,Sell derivative,All Buy,All Sell
2016-01-04,2,0,41,-17
2016-01-05,4,0,35,-23
2016-01-06,1,0,29,-14
2016-01-07,3,0,72,-19
2016-01-08,3,0,62,-16
2016-01-11,4,0,48,-22
2016-01-12,2,0,41,-19
2016-01-13,6,-1,57,-28
2016-01-14,2,-2,66,-26
2016-01-15,4,0,60,-16
2016-01-18,2,0,60,-18
2016-01-19,4,-1,55,-24
2016-01-20,3,-1,68,-21
2016-01-21,1,-1,60,-19
2016-01-22,2,0,61,-29
2016-01-25,3,-1,34,-12
2016-01-26,2,-1,41,-20
2016-01-27,2,0,37,-16
2016-01-28,0,-1,49,-26
2016-01-29,2,-1,44,-34
2016-02-01,6,-1,36,-20
2016-02-02,1,-1,40,-24
2016-02-03,1,0,47,-25
2016-02-04,3,-1,57,-31
2016-02-05,3,-1,63,-18
2016-02-08,2,0,51,-16
2016-02-09,0,0,68,-17
2016-02-10,0,0,67,-21
2016-02-11,0,0,94,-22
2016-02-12,4,0,89,-28
2016-02-15,2,0,62,-23
2016-02-16,3,0,48,-29
2016-02-17,2,-1,51,-33
2016-02-18,3,-1,68,-31
2016-02-19,2,0,51,-26
2016-02-22,1,-2,69,-36
2016-02-23,1,0,41,-32
2016-02-24,3,0,66,-36
2016-02-25,4,-3,63,-46
2016-02-26,3,-1,59,-45
2016-02-29,5,-3,59,-44
2016-03-01,6,-4,58,-47
2016-03-02,7,0,65,-44
2016-03-03,4,-1,57,-45
2016-03-04,5,-2,59,-43
2016-03-07,8,-1,57,-41
2016-03-08,5,0,56,-31
2016-03-09,5,-1,67,-41
2016-03-10,6,-1,60,-40
2016-03-11,2,0,61,-49
2016-03-14,9,0,44,-47
2016-03-15,1,-1,41,-35
2016-03-16,4,-1,58,-49
2016-03-17,1,-1,60,-45
2016-03-18,5,-1,59,-51
2016-03-21,6,-1,58,-56
2016-03-22,6,-1,46,-40
2016-03-23,7,-1,49,-34
2016-03-24,4,0,55,-36
2016-03-25,0,0,6,-9
2016-03-28,0,0,6,-6
2016-03-29,10,-1,57,-47
2016-03-30,6,0,70,-43
2016-03-31,5,-1,66,-47
2016-04-01,6,-2,56,-45
2016-04-04,4,-1,47,-40
2016-04-05,1,0,54,-40
2016-04-06,6,-1,60,-33
2016-04-07,2,-1,55,-32
2016-04-08,4,0,48,-34
2016-04-11,4,0,41,-35
2016-04-12,3,0,51,-24
2016-04-13,9,0,54,-41
2016-04-14,5,0,51,-39
2016-04-15,7,0,42,-26
