Date,Filings
2016-01-01,15
2016-01-04,207
2016-01-05,159
2016-01-06,158
2016-01-07,188
2016-01-08,182
2016-01-11,194
2016-01-12,175
2016-01-13,195
2016-01-14,233
2016-01-15,230
2016-01-18,274
2016-01-19,187
2016-01-20,198
2016-01-21,193
2016-01-22,199
2016-01-25,126
2016-01-26,262
2016-01-27,138
2016-01-28,167
2016-01-29,218
2016-02-01,166
2016-02-02,242
2016-02-03,257
2016-02-04,208
2016-02-05,478
2016-02-08,186
2016-02-09,305
2016-02-10,252
2016-02-11,336
2016-02-12,329
2016-02-15,350
2016-02-16,269
2016-02-17,210
2016-02-18,307
2016-02-19,270
2016-02-22,249
2016-02-23,228
2016-02-24,279
2016-02-25,398
2016-02-26,352
2016-02-29,376
2016-03-01,337
2016-03-02,279
2016-03-03,331
2016-03-04,306
2016-03-07,456
2016-03-08,287
2016-03-09,361
2016-03-10,353
2016-03-11,327
2016-03-14,407
2016-03-15,288
2016-03-16,329
2016-03-17,310
2016-03-18,355
2016-03-21,310
2016-03-22,297
2016-03-23,373
2016-03-24,379
2016-03-25,38
2016-03-28,31
2016-03-29,351
2016-03-30,331
2016-03-31,370
2016-04-01,315
2016-04-04,281
2016-04-05,271
2016-04-06,208
2016-04-07,214
2016-04-08,235
2016-04-11,249
2016-04-12,192
2016-04-13,261
2016-04-14,182
2016-04-15,199
2016-04-18,274
2016-04-19,181
2016-04-20,187
2016-04-21,144
2016-04-22,170
2016-04-25,217
2016-04-26,219
2016-04-27,305
2016-04-28,362
2016-04-29,314
2016-05-02,184
2016-05-03,220
2016-05-04,209
2016-05-05,197
2016-05-06,269
2016-05-09,301
2016-05-10,256
2016-05-11,298
2016-05-12,309
2016-05-13,353
2016-05-16,274
2016-05-17,321
2016-05-18,251
2016-05-19,269
2016-05-20,354
2016-05-23,334
2016-05-24,334
2016-05-25,374
2016-05-26,271
2016-05-27,299
2016-05-30,221
2016-05-31,305
2016-06-01,376
2016-06-02,256
2016-06-03,258
2016-06-06,327
2016-06-07,381
2016-06-08,260
2016-06-09,320
2016-06-10,281
2016-06-13,310
2016-06-14,316
2016-06-15,306
2016-06-16,324
2016-06-17,348
2016-06-20,316
2016-06-21,252
2016-06-22,304
2016-06-23,238
2016-06-24,560
2016-06-27,839
2016-06-28,337
2016-06-29,322
2016-06-30,352
2016-07-01,257
2016-07-04,293
2016-07-05,320
2016-07-06,267
2016-07-07,266
2016-07-08,304
2016-07-11,288
2016-07-12,175
2016-07-13,166
2016-07-14,214
2016-07-15,223
2016-07-18,229
2016-07-19,204
2016-07-20,197
2016-07-21,181
2016-07-22,192
2016-07-25,177
2016-07-26,181
2016-07-27,190
2016-07-28,176
2016-07-29,283
2016-08-01,226
2016-08-02,223
2016-08-03,185
2016-08-04,205
2016-08-05,233
2016-08-08,162
2016-08-09,245
2016-08-10,173
2016-08-11,151
2016-08-12,180
2016-08-15,168
2016-08-16,190
2016-08-17,264
2016-08-18,214
2016-08-19,209
2016-08-22,201
2016-08-23,260
2016-08-24,190
2016-08-25,200
2016-08-26,216
2016-08-29,242
2016-08-30,223
2016-08-31,292
2016-09-01,267
2016-09-02,213
2016-09-05,302
2016-09-06,333
2016-09-07,339
2016-09-08,276
2016-09-09,287
2016-09-12,182
2016-09-13,175
2016-09-14,222
2016-09-15,299
2016-09-16,257
2016-09-19,295
2016-09-20,232
2016-09-21,249
2016-09-22,269
2016-09-23,250
2016-09-26,357
2016-09-27,285
2016-09-28,276
2016-09-29,287
2016-09-30,382
2016-10-03,321
2016-10-04,267
2016-10-05,197
2016-10-06,229
2016-10-07,235
2016-10-10,187
2016-10-11,192
2016-10-12,158
2016-10-13,149
2016-10-14,267
2016-10-17,228
2016-10-18,168
2016-10-19,149
2016-10-20,136
2016-10-21,182
2016-10-24,192
2016-10-25,153
2016-10-26,157
2016-10-27,180
2016-10-28,255
2016-10-31,194
2016-11-01,178
2016-11-02,194
2016-11-03,192
2016-11-04,255
2016-11-07,243
2016-11-08,231
2016-11-09,249
2016-11-10,263
2016-11-11,256
2016-11-14,279
2016-11-15,308
2016-11-16,280
2016-11-17,260
2016-11-18,269
2016-11-21,302
2016-11-22,224
2016-11-23,314
2016-11-24,255
2016-11-25,296
2016-11-28,282
2016-11-29,275
2016-11-30,322
2016-12-01,316
2016-12-02,298
2016-12-05,279
2016-12-06,276
2016-12-07,249
2016-12-08,246
2016-12-09,329
2016-12-12,322
2016-12-13,334
2016-12-14,260
2016-12-15,304
2016-12-16,338
2016-12-19,329
2016-12-20,278
2016-12-21,331
2016-12-22,300
2016-12-23,204
2016-12-26,23
2016-12-27,185
2016-12-28,227
2016-12-29,213
2016-12-30,254
2017-01-02,158
2017-01-03,165
2017-01-04,135
2017-01-05,152
2017-01-06,92
2017-01-09,193
2017-01-10,197
2017-01-11,163
2017-01-12,200
2017-01-13,199
2017-01-16,137
2017-01-17,144
2017-01-18,201
2017-01-19,169
2017-01-20,184
2017-01-23,174
2017-01-24,146
2017-01-25,184
2017-01-26,162
2017-01-27,164
2017-01-30,133
2017-01-31,215
2017-02-01,154
2017-02-02,232
2017-02-03,194
2017-02-06,129
2017-02-07,169
2017-02-08,196
2017-02-09,235
2017-02-10,237
2017-02-13,285
2017-02-14,297
2017-02-15,378
2017-02-16,352
2017-02-17,286
2017-02-20,272
2017-02-21,307
2017-02-22,217
2017-02-23,297
2017-02-24,323
2017-02-27,269
2017-02-28,395
2017-03-01,542
2017-03-02,267
2017-03-03,259
2017-03-06,417
2017-03-07,365
2017-03-08,292
2017-03-09,285
2017-03-10,400
2017-03-13,491
2017-03-14,517
2017-03-15,561
2017-03-16,374
2017-03-17,291
2017-03-20,320
2017-03-21,289
2017-03-22,225
2017-03-23,310
2017-03-24,375
2017-03-27,416
2017-03-28,430
2017-03-29,305
2017-03-30,333
2017-03-31,435
2017-04-03,405
2017-04-04,284
2017-04-05,279
2017-04-06,273
2017-04-07,348
2017-04-10,255
2017-04-11,225
2017-04-12,254
2017-04-13,190
2017-04-14,52
2017-04-17,15
2017-04-18,213
2017-04-19,173
2017-04-20,190
2017-04-21,201
2017-04-24,193
2017-04-25,265
2017-04-26,240
2017-04-27,243
2017-04-28,342
2017-05-01,46
2017-05-02,271
2017-05-03,315
2017-05-04,282
2017-05-05,284
2017-05-08,312
2017-05-09,258
2017-05-10,296
2017-05-11,357
2017-05-12,324
2017-05-15,378
2017-05-16,343
2017-05-17,270
2017-05-18,278
2017-05-19,408
2017-05-22,404
2017-05-23,298
2017-05-24,361
2017-05-25,162
2017-05-26,250
2017-05-29,239
2017-05-30,298
2017-05-31,338
2017-06-01,421
2017-06-02,407
2017-06-05,270
2017-06-06,271
2017-06-07,386
2017-06-08,306
2017-06-09,378
2017-06-12,331
2017-06-13,363
2017-06-14,470
2017-06-15,442
2017-06-16,337
2017-06-19,551
2017-06-20,424
2017-06-21,283
2017-06-22,234
2017-06-23,194
2017-06-26,281
2017-06-27,208
2017-06-28,271
2017-06-29,166
2017-06-30,286
2017-07-03,227
2017-07-04,154
2017-07-05,179
2017-07-06,182
2017-07-07,147
2017-07-10,146
2017-07-11,146
2017-07-12,163
2017-07-13,154
2017-07-14,139
2017-07-17,160
2017-07-18,132
2017-07-19,129
2017-07-20,150
2017-07-21,185
