Date,Transactions,Filings
2016 - Jan,27710,11743
2016 - Jan,7168,2674
2016 - Jan,6580,2194
2016 - Jan,5056,1724
2016 - Jan,7699,2571
2016 - Jan,5162,1975
2016 - Jan,5584,1720
2016 - Jan,5978,2050
2016 - Jan,6904,2268
2016 - Jan,13878,5010
2016 - Jan,1608,802
2016 - Jan,10730,2970
2016 - Jan,6294,2402
2016 - Jan,6434,2188
2016 - Jan,9816,2598
2016 - Jan,8162,2376
2016 - Jan,10187,3395
2016 - Jan,9270,3022
2016 - Jan,11716,3518
2016 - Jan,15118,5314
2016 - Feb,18812,6756
2016 - Feb,8678,3124
2016 - Feb,10238,3728
2016 - Feb,11600,3592
2016 - Feb,12201,3827
2016 - Feb,10836,3462
2016 - Feb,9495,3079
2016 - Feb,11087,4208
2016 - Feb,13531,3904
2016 - Feb,14168,4473
2016 - Feb,7280,2736
2016 - Feb,17724,5750
2016 - Feb,14715,4857
2016 - Feb,15490,5308
2016 - Feb,18128,5046
2016 - Feb,15341,5039
2016 - Feb,13830,4560
2016 - Feb,16031,4990
2016 - Feb,12486,4158
2016 - Feb,13730,4347
2016 - Feb,17262,5774
2016 - Mar,29506,10144
2016 - Mar,12342,4083
2016 - Mar,14362,4802
2016 - Mar,15682,4799
2016 - Mar,12679,4352
2016 - Mar,8468,3261
2016 - Mar,9676,2862
2016 - Mar,15766,4222
2016 - Mar,10362,3520
2016 - Mar,9750,3426
2016 - Mar,16984,5690
2016 - Mar,9350,2998
2016 - Mar,7142,2632
2016 - Mar,8426,2698
2016 - Mar,6398,2162
2016 - Mar,5418,2128
2016 - Mar,7498,2396
2016 - Mar,5192,2324
2016 - Mar,2260,924
2016 - Mar,7819,2587
2016 - Mar,7090,2240
2016 - Mar,6672,2312
2016 - Mar,20650,8987
2016 - Apr,29508,11052
2016 - Apr,7528,2347
2016 - Apr,4424,1730
2016 - Apr,5570,1864
2016 - Apr,3572,1384
2016 - Apr,3998,1418
2016 - Apr,4422,1684
2016 - Apr,5384,1556
2016 - Apr,3784,1453
2016 - Apr,3726,1392
2016 - Apr,10156,3952
2016 - Apr,3774,1250
2016 - Apr,4778,1652
2016 - Apr,5786,2028
2016 - Apr,5054,1956
2016 - Apr,6202,2060
2016 - Apr,6995,2418
2016 - Apr,6280,2784
2016 - Apr,6694,2547
2016 - Apr,7557,2867
2016 - Apr,10228,3876
2016 - May,16107,5956
2016 - May,8527,3239
2016 - May,9899,3582
2016 - May,8989,4124
2016 - May,10103,3783
2016 - May,7838,3018
2016 - May,11254,4302
2016 - May,11750,4563
2016 - May,11548,4433
2016 - May,13897,4756
2016 - May,14234,4242
2016 - May,9684,3814
2016 - May,10804,4544
2016 - May,11719,5134
2016 - May,9818,3428
2016 - May,9304,2854
2016 - May,10048,3900
2016 - May,12200,4614
2016 - May,9960,4214
2016 - May,9436,3164
2016 - May,428,216
2016 - May,11334,4114
2016 - Jun,21845,8262
2016 - Jun,8572,3347
2016 - Jun,9430,3242
2016 - Jun,8910,2898
2016 - Jun,8674,2772
2016 - Jun,8480,3410
2016 - Jun,8798,3106
2016 - Jun,8906,3660
2016 - Jun,6420,2140
2016 - Jun,7702,2618
2016 - Jun,12038,5116
2016 - Jun,6290,2462
2016 - Jun,5676,2084
2016 - Jun,4922,1842
2016 - Jun,7134,2342
2016 - Jun,4928,2294
2016 - Jun,5622,2310
2016 - Jun,6494,2314
2016 - Jun,6380,1802
2016 - Jun,3892,1630
2016 - Jun,4806,1634
2016 - Jun,22836,9589
2016 - Jul,28228,10918
2016 - Jul,60,40
2016 - Jul,5848,2144
2016 - Jul,7654,1838
2016 - Jul,4056,1410
2016 - Jul,4934,1650
2016 - Jul,4544,1542
2016 - Jul,4584,1764
2016 - Jul,4216,1412
2016 - Jul,4174,1338
2016 - Jul,9922,3544
2016 - Jul,3968,1424
2016 - Jul,4474,1534
2016 - Jul,4066,1818
2016 - Jul,7479,1795
2016 - Jul,4274,1480
2016 - Jul,7684,2102
2016 - Jul,6510,1978
2016 - Jul,7618,2354
2016 - Jul,6716,2176
2016 - Jul,9888,3845
2016 - Aug,16268,5458
2016 - Aug,6118,2078
2016 - Aug,6120,2278
2016 - Aug,7642,2575
2016 - Aug,10350,2493
2016 - Aug,8420,2461
2016 - Aug,8530,2728
2016 - Aug,8732,2954
2016 - Aug,8784,2515
2016 - Aug,8832,2920
2016 - Aug,13896,4612
2016 - Aug,9636,2539
2016 - Aug,6790,2098
2016 - Aug,6370,2254
2016 - Aug,6702,2140
2016 - Aug,8692,2708
2016 - Aug,6812,1872
2016 - Aug,5848,1984
2016 - Aug,7378,2098
2016 - Aug,5790,1948
2016 - Aug,6422,2106
2016 - Aug,5426,1400
2016 - Aug,8860,3534
2016 - Sep,14742,5386
2016 - Sep,7790,2248
2016 - Sep,336,172
2016 - Sep,9924,2464
2016 - Sep,7395,2389
2016 - Sep,6218,2244
2016 - Sep,8026,2738
2016 - Sep,7010,2296
2016 - Sep,4155,1749
2016 - Sep,5724,2082
2016 - Sep,11208,4030
2016 - Sep,6319,2245
2016 - Sep,7040,1660
2016 - Sep,6902,1916
2016 - Sep,5822,1871
2016 - Sep,7464,1946
2016 - Sep,7136,1516
2016 - Sep,7476,1752
2016 - Sep,4812,1296
2016 - Sep,6678,1718
2016 - Sep,5848,1474
2016 - Sep,22124,9036
2016 - Oct,16320,6084
2016 - Oct,7742,1590
2016 - Oct,8104,2186
2016 - Oct,4952,1472
2016 - Oct,4605,1623
2016 - Oct,3146,1050
2016 - Oct,4232,1432
2016 - Oct,3606,1134
2016 - Oct,2754,908
2016 - Oct,4696,2120
2016 - Oct,4238,1770
2016 - Oct,3610,1094
2016 - Oct,5284,1599
2016 - Oct,3244,1365
2016 - Oct,4452,1478
2016 - Oct,5264,1654
2016 - Oct,4886,1686
2016 - Oct,3926,1792
2016 - Oct,6002,1666
2016 - Oct,5582,2153
2016 - Oct,9516,3372
2016 - Nov,13185,4319
2016 - Nov,6912,2073
2016 - Nov,7144,2345
2016 - Nov,6944,2428
2016 - Nov,9138,2975
2016 - Nov,6324,2187
2016 - Nov,9243,2802
2016 - Nov,12382,3321
2016 - Nov,8246,2541
2016 - Nov,14014,3879
2016 - Nov,16668,5123
2016 - Nov,9820,3182
2016 - Nov,8712,2884
2016 - Nov,10928,3004
2016 - Nov,12778,3737
2016 - Nov,8981,2637
2016 - Nov,9627,2478
2016 - Nov,200,64
2016 - Nov,3052,864
2016 - Nov,10720,2370
2016 - Nov,7752,2454
2016 - Nov,11487,4276
2016 - Dec,16864,5840
2016 - Dec,9798,2719
2016 - Dec,8490,2836
2016 - Dec,7444,2768
2016 - Dec,9244,2836
2016 - Dec,9694,3092
2016 - Dec,10271,3583
2016 - Dec,8852,2983
2016 - Dec,11937,3332
2016 - Dec,9159,2998
2016 - Dec,14706,5278
2016 - Dec,9118,2790
2016 - Dec,6699,2271
2016 - Dec,5420,2046
2016 - Dec,4940,1890
2016 - Dec,4442,1502
2016 - Dec,4685,1558
2016 - Dec,314,106
2016 - Dec,4598,1448
2016 - Dec,4012,1272
2016 - Dec,5178,1922
2016 - Dec,14236,5471
2017 - Jan,2762,1130
2017 - Jan,28199,11304
2017 - Jan,10980,3298
2017 - Jan,4480,1580
2017 - Jan,4596,1451
2017 - Jan,2790,1035
2017 - Jan,6647,1758
2017 - Jan,4633,1349
2017 - Jan,3313,1300
2017 - Jan,7170,2992
2017 - Jan,1098,516
2017 - Jan,8270,2905
2017 - Jan,5389,2024
2017 - Jan,6787,1856
2017 - Jan,6212,2163
2017 - Jan,4151,1258
2017 - Jan,4068,1335
2017 - Jan,4408,1480
2017 - Jan,5987,1927
2017 - Jan,5529,1658
2017 - Jan,5684,1795
2017 - Jan,6282,2195
2017 - Feb,9778,3154
2017 - Feb,4817,1544
2017 - Feb,5935,1791
2017 - Feb,6320,1868
2017 - Feb,6027,1913
2017 - Feb,6064,2040
2017 - Feb,7325,2020
2017 - Feb,9479,2834
2017 - Feb,7234,2449
2017 - Feb,7853,2640
2017 - Feb,12561,3645
2017 - Feb,6767,2609
2017 - Feb,9700,2729
2017 - Feb,2582,690
2017 - Feb,10738,3321
2017 - Feb,8917,3106
2017 - Feb,10153,3210
2017 - Feb,9865,3092
2017 - Feb,10584,3316
2017 - Feb,13817,4748
2017 - Mar,23173,6556
2017 - Mar,10176,3107
2017 - Mar,15123,4894
2017 - Mar,13208,4201
2017 - Mar,12710,3804
2017 - Mar,11536,4012
2017 - Mar,10378,3154
2017 - Mar,19148,5118
2017 - Mar,8918,3156
2017 - Mar,11830,3334
2017 - Mar,25536,7462
2017 - Mar,11094,3288
2017 - Mar,9572,2810
2017 - Mar,10006,2886
2017 - Mar,7070,2312
2017 - Mar,8158,2500
2017 - Mar,7170,2526
2017 - Mar,8466,2270
2017 - Mar,5782,2032
2017 - Mar,9204,3020
2017 - Mar,5780,1381
2017 - Mar,3913,1501
2017 - Mar,22238,9980
2017 - Apr,17639,7183
2017 - Apr,5680,1872
2017 - Apr,5558,1766
2017 - Apr,5250,1812
2017 - Apr,5708,1950
2017 - Apr,5848,1776
2017 - Apr,3424,1350
2017 - Apr,6314,1548
2017 - Apr,4588,1720
2017 - Apr,1312,612
2017 - Apr,6790,2824
2017 - Apr,4536,1636
2017 - Apr,7620,2054
2017 - Apr,4414,1884
2017 - Apr,5803,1621
2017 - Apr,6328,1990
2017 - Apr,6896,2610
2017 - Apr,8304,2758
2017 - Apr,10293,2957
2017 - Apr,13406,4948
2017 - May,21452,6938
2017 - May,9852,3506
2017 - May,11302,3764
2017 - May,10040,4142
2017 - May,11168,3602
2017 - May,11238,3905
2017 - May,12490,4426
2017 - May,13086,4750
2017 - May,11238,4253
2017 - May,12178,4360
2017 - May,17529,5931
2017 - May,12164,4232
2017 - May,11994,4953
2017 - May,11504,5062
2017 - May,9294,3480
2017 - May,9130,2868
2017 - May,11776,3722
2017 - May,10584,4734
2017 - May,11002,4474
2017 - May,6910,2642
2017 - May,872,148
2017 - May,8328,3108
2017 - May,12358,5082
2017 - Jun,21792,8890
2017 - Jun,7984,2932
2017 - Jun,8126,2534
2017 - Jun,8682,2984
2017 - Jun,8026,2954
2017 - Jun,8152,3048
2017 - Jun,11286,3756
2017 - Jun,9420,3046
2017 - Jun,7834,2864
2017 - Jun,8535,3235
2017 - Jun,14774,5022
2017 - Jun,6425,2249
2017 - Jun,5284,1852
2017 - Jun,5550,2432
2017 - Jun,5696,2348
2017 - Jun,5192,2326
2017 - Jun,5736,1904
2017 - Jun,4576,1594
2017 - Jun,5092,1978
2017 - Jun,3748,1661
2017 - Jun,4344,1297
2017 - Jun,20814,9155
2017 - Jul,14395,5661
2017 - Jul,140,72
2017 - Jul,5822,2082
2017 - Jul,6186,1552
2017 - Jul,5446,1568
2017 - Jul,4366,1570
2017 - Jul,3260,996
2017 - Jul,4418,1514
2017 - Jul,3940,1358
2017 - Jul,5524,2238
2017 - Jul,5898,2270
2017 - Jul,3186,1236
2017 - Jul,4448,1516
2017 - Jul,4216,1762
2017 - Jul,3786,1156
2017 - Jul,6432,1945
2017 - Jul,6212,2186
2017 - Jul,4456,1730
2017 - Jul,6032,2104
2017 - Jul,5468,2082
2017 - Jul,9874,3512
2017 - Aug,14780,5516
2017 - Aug,7960,3488
2017 - Aug,6938,2218
2017 - Aug,6204,2086
2017 - Aug,8628,2706
2017 - Aug,7050,2402
2017 - Aug,5942,2012
2017 - Aug,10122,3156
2017 - Aug,7104,2388
2017 - Aug,9404,2912
2017 - Aug,14316,4304
2017 - Aug,6040,2168
2017 - Aug,7038,2356
2017 - Aug,5316,2002
2017 - Aug,8069,2349
2017 - Aug,5656,1962
2017 - Aug,5760,1858
2017 - Aug,4393,1559
2017 - Aug,7216,1942
2017 - Aug,5450,1684
2017 - Aug,3701,1234
2017 - Aug,3705,1172
2017 - Aug,11128,3728
2017 - Sep,12892,4624
2017 - Sep,200,80
2017 - Sep,7864,2418
2017 - Sep,6670,1806
2017 - Sep,5576,1952
2017 - Sep,7984,2802
2017 - Sep,7100,2214
2017 - Sep,7366,2190
2017 - Sep,4564,1639
2017 - Sep,5046,1872
2017 - Sep,11692,3752
2017 - Sep,4938,1920
2017 - Sep,5624,1936
2017 - Sep,4930,1628
2017 - Sep,3856,1386
2017 - Sep,4146,1468
2017 - Sep,4846,1582
2017 - Sep,7040,2012
2017 - Sep,4789,1833
2017 - Sep,4540,1658
2017 - Sep,13325,5541
2017 - Oct,16050,6687
2017 - Oct,6540,2064
2017 - Oct,5696,1594
2017 - Oct,4432,1474
2017 - Oct,5218,1554
2017 - Oct,4462,1284
2017 - Oct,6302,1904
2017 - Oct,5988,1436
2017 - Oct,3848,1170
2017 - Oct,5010,1768
2017 - Oct,8917,2755
2017 - Oct,3758,1382
2017 - Oct,3554,1350
2017 - Oct,3094,1104
2017 - Oct,4630,1392
2017 - Oct,4498,1568
2017 - Oct,3304,1116
2017 - Oct,4182,1510
2017 - Oct,9305,2323
2017 - Oct,6038,2036
2017 - Oct,6562,2116
2017 - Oct,11976,3210
2017 - Nov,15408,5080
2017 - Nov,8636,2506
2017 - Nov,7760,2156
2017 - Nov,7312,2496
2017 - Nov,8578,2608
2017 - Nov,8236,2772
2017 - Nov,6944,2382
2017 - Nov,8174,2820
2017 - Nov,9158,2922
2017 - Nov,9262,2926
2017 - Nov,16084,5228
