Date,Gross Exposure,Net Exposure
2016 - Jan,172,19
2016 - Jan,155,12
2016 - Jan,143,5
2016 - Jan,135,-12
2016 - Jan,144,-23
2016 - Jan,154,-33
2016 - Jan,155,-35
2016 - Jan,163,-33
2016 - Jan,158,-40
2016 - Jan,155,-37
2016 - Jan,151,-45
2016 - Jan,129,-51
2016 - Jan,133,-65
2016 - Jan,134,-64
2016 - Jan,125,-56
2016 - Jan,130,-59
2016 - Jan,122,-43
2016 - Jan,131,-40
2016 - Jan,132,-32
2016 - Jan,136,-25
2016 - Jan,147,-2
2016 - Feb,151,23
2016 - Feb,151,-1
2016 - Feb,172,2
2016 - Feb,198,1
2016 - Feb,197,1
2016 - Feb,196,4
2016 - Feb,198,1
2016 - Feb,198,2
2016 - Feb,198,2
2016 - Feb,197,2
2016 - Feb,197,2
2016 - Feb,197,2
2016 - Feb,188,10
2016 - Feb,180,16
2016 - Feb,198,0
2016 - Feb,197,2
2016 - Feb,198,1
2016 - Feb,197,1
2016 - Feb,197,1
2016 - Feb,197,2
2016 - Feb,196,2
2016 - Mar,196,2
2016 - Mar,197,1
2016 - Mar,196,1
2016 - Mar,197,1
2016 - Mar,195,2
2016 - Mar,195,2
2016 - Mar,195,2
2016 - Mar,195,3
2016 - Mar,195,3
2016 - Mar,196,2
2016 - Mar,195,3
2016 - Mar,196,2
2016 - Mar,197,1
2016 - Mar,197,1
2016 - Mar,196,2
2016 - Mar,196,2
2016 - Mar,196,2
2016 - Mar,196,1
2016 - Mar,195,1
2016 - Mar,186,-8
2016 - Mar,196,3
2016 - Mar,187,0
2016 - Mar,197,2
2016 - Apr,197,1
2016 - Apr,197,1
2016 - Apr,194,-2
2016 - Apr,197,1
2016 - Apr,193,0
2016 - Apr,188,-5
2016 - Apr,187,-6
2016 - Apr,188,-5
2016 - Apr,191,-5
2016 - Apr,190,-5
2016 - Apr,177,-3
2016 - Apr,171,-24
2016 - Apr,171,-24
2016 - Apr,172,-24
2016 - Apr,169,-26
2016 - Apr,159,-31
2016 - Apr,149,-49
2016 - Apr,149,-48
2016 - Apr,159,-38
2016 - Apr,158,-39
2016 - Apr,152,-44
2016 - May,138,-57
2016 - May,142,-53
2016 - May,140,-55
2016 - May,125,-68
2016 - May,140,-53
2016 - May,143,-54
2016 - May,147,-46
2016 - May,162,-32
2016 - May,158,-29
2016 - May,173,-15
2016 - May,178,2
2016 - May,182,-2
2016 - May,187,12
2016 - May,187,12
2016 - May,178,22
2016 - May,173,26
2016 - May,168,31
2016 - May,155,44
2016 - May,152,47
2016 - May,143,56
2016 - May,129,70
2016 - May,125,74
2016 - Jun,120,80
2016 - Jun,116,84
2016 - Jun,116,83
2016 - Jun,119,80
2016 - Jun,124,75
2016 - Jun,126,72
2016 - Jun,125,65
2016 - Jun,126,64
2016 - Jun,110,47
2016 - Jun,101,38
2016 - Jun,118,56
2016 - Jun,123,61
2016 - Jun,133,66
2016 - Jun,137,62
2016 - Jun,140,59
2016 - Jun,140,59
2016 - Jun,134,64
2016 - Jun,125,51
2016 - Jun,112,33
2016 - Jun,110,34
2016 - Jun,115,41
2016 - Jun,106,49
2016 - Jul,109,47
2016 - Jul,106,49
2016 - Jul,114,50
2016 - Jul,126,58
2016 - Jul,110,52
2016 - Jul,109,53
2016 - Jul,107,56
2016 - Jul,102,62
2016 - Jul,102,62
2016 - Jul,103,53
2016 - Jul,106,51
2016 - Jul,100,45
2016 - Jul,105,49
2016 - Jul,125,70
2016 - Jul,116,56
2016 - Jul,112,62
2016 - Jul,103,48
2016 - Jul,108,43
2016 - Jul,103,48
2016 - Jul,89,34
2016 - Jul,88,34
2016 - Aug,72,22
2016 - Aug,75,29
2016 - Aug,75,39
2016 - Aug,85,39
2016 - Aug,98,48
2016 - Aug,98,60
2016 - Aug,105,72
2016 - Aug,101,67
2016 - Aug,113,65
2016 - Aug,129,61
2016 - Aug,127,64
2016 - Aug,139,60
2016 - Aug,149,50
2016 - Aug,159,41
2016 - Aug,159,41
2016 - Aug,145,32
2016 - Aug,145,42
2016 - Aug,152,47
2016 - Aug,149,50
2016 - Aug,154,44
2016 - Aug,160,40
2016 - Aug,162,37
2016 - Aug,167,32
2016 - Sep,158,23
2016 - Sep,172,27
2016 - Sep,167,32
2016 - Sep,169,29
2016 - Sep,176,23
2016 - Sep,169,21
2016 - Sep,168,1
2016 - Sep,161,-4
2016 - Sep,159,-24
2016 - Sep,179,-15
2016 - Sep,184,-12
2016 - Sep,184,-8
2016 - Sep,182,-13
2016 - Sep,188,-9
2016 - Sep,198,1
2016 - Sep,178,21
2016 - Sep,181,18
2016 - Sep,159,14
2016 - Sep,154,4
2016 - Sep,151,7
2016 - Sep,140,4
2016 - Sep,139,13
2016 - Oct,117,26
2016 - Oct,113,22
2016 - Oct,110,19
2016 - Oct,110,28
2016 - Oct,116,33
2016 - Oct,96,33
2016 - Oct,88,25
2016 - Oct,73,31
2016 - Oct,78,36
2016 - Oct,62,24
2016 - Oct,73,35
2016 - Oct,78,40
2016 - Oct,78,40
2016 - Oct,70,38
2016 - Oct,51,30
2016 - Oct,58,32
2016 - Oct,58,32
2016 - Oct,60,30
2016 - Oct,46,25
2016 - Oct,43,28
2016 - Nov,48,33
2016 - Nov,33,18
2016 - Nov,38,23
2016 - Nov,63,28
2016 - Nov,73,29
2016 - Nov,73,28
2016 - Nov,88,36
2016 - Nov,98,46
2016 - Nov,98,46
2016 - Nov,121,79
2016 - Nov,122,78
2016 - Nov,129,70
2016 - Nov,139,60
2016 - Nov,149,51
2016 - Nov,156,43
2016 - Nov,163,36
2016 - Nov,163,36
2016 - Nov,151,41
2016 - Nov,146,45
2016 - Nov,146,48
2016 - Dec,125,26
2016 - Dec,130,31
2016 - Dec,132,34
2016 - Dec,143,47
2016 - Dec,142,56
2016 - Dec,140,59
2016 - Dec,132,61
2016 - Dec,129,69
2016 - Dec,130,69
2016 - Dec,125,63
2016 - Dec,125,64
2016 - Dec,115,65
2016 - Dec,97,62
2016 - Dec,113,78
2016 - Dec,114,78
2016 - Dec,98,78
2016 - Dec,100,89
2016 - Dec,89,84
2016 - Dec,79,74
2016 - Dec,78,73
2016 - Dec,76,71
2017 - Jan,61,61
2017 - Jan,62,62
2017 - Jan,62,62
2017 - Jan,114,6
2017 - Jan,112,-2
2017 - Jan,112,-1
2017 - Jan,112,-1
2017 - Jan,108,-6
2017 - Jan,108,-5
2017 - Jan,100,4
2017 - Jan,100,4
2017 - Jan,90,2
2017 - Jan,83,-11
2017 - Jan,59,-39
2017 - Jan,61,-40
2017 - Jan,56,-35
2017 - Jan,44,-33
2017 - Jan,41,-31
2017 - Jan,39,-29
2017 - Jan,34,-24
2017 - Feb,34,-24
2017 - Feb,49,-19
2017 - Feb,57,-6
2017 - Feb,73,-3
2017 - Feb,88,2
2017 - Feb,95,14
2017 - Feb,98,22
2017 - Feb,111,30
2017 - Feb,110,31
2017 - Feb,111,31
2017 - Feb,103,39
2017 - Feb,116,36
2017 - Feb,123,49
2017 - Feb,139,60
2017 - Feb,142,57
2017 - Feb,138,53
2017 - Feb,138,53
2017 - Feb,132,67
2017 - Feb,132,66
2017 - Mar,137,62
2017 - Mar,135,48
2017 - Mar,136,39
2017 - Mar,146,39
2017 - Mar,152,25
2017 - Mar,162,24
2017 - Mar,166,33
2017 - Mar,173,26
2017 - Mar,168,31
2017 - Mar,165,27
2017 - Mar,167,31
2017 - Mar,168,31
2017 - Mar,175,23
2017 - Mar,175,22
2017 - Mar,160,4
2017 - Mar,168,12
2017 - Mar,175,9
2017 - Mar,172,18
2017 - Mar,170,21
2017 - Mar,168,25
2017 - Mar,161,28
2017 - Mar,163,35
2017 - Mar,159,41
2017 - Apr,146,54
2017 - Apr,138,52
2017 - Apr,139,51
2017 - Apr,132,56
2017 - Apr,131,59
2017 - Apr,119,63
2017 - Apr,118,56
2017 - Apr,123,61
2017 - Apr,119,56
2017 - Apr,92,51
2017 - Apr,92,51
2017 - Apr,85,44
2017 - Apr,84,39
2017 - Apr,87,37
2017 - Apr,87,27
2017 - Apr,84,30
2017 - Apr,82,32
2017 - Apr,73,24
2017 - Apr,78,28
2017 - May,125,43
2017 - May,124,43
2017 - May,123,43
2017 - May,124,43
2017 - May,123,44
2017 - May,123,44
2017 - May,123,43
2017 - May,148,63
2017 - May,148,62
2017 - May,149,42
2017 - May,139,32
2017 - May,154,46
2017 - May,157,43
2017 - May,165,35
2017 - May,164,37
2017 - May,161,39
2017 - May,163,37
2017 - May,163,37
2017 - May,163,37
2017 - May,156,44
2017 - May,159,41
2017 - May,159,40
2017 - Jun,140,43
2017 - Jun,144,54
2017 - Jun,139,53
2017 - Jun,146,54
2017 - Jun,141,59
2017 - Jun,142,56
2017 - Jun,133,58
2017 - Jun,124,60
2017 - Jun,134,66
2017 - Jun,134,67
2017 - Jun,136,64
2017 - Jun,118,57
2017 - Jun,118,58
2017 - Jun,138,62
2017 - Jun,133,55
2017 - Jun,132,50
2017 - Jun,118,50
2017 - Jun,117,51
2017 - Jun,129,61
2017 - Jun,129,76
2017 - Jun,127,73
2017 - Jun,124,71
2017 - Jul,114,77
2017 - Jul,117,74
2017 - Jul,112,68
2017 - Jul,106,65
2017 - Jul,86,45
2017 - Jul,89,48
2017 - Jul,89,48
2017 - Jul,86,56
2017 - Jul,91,72
2017 - Jul,86,62
2017 - Jul,89,59
2017 - Jul,101,67
2017 - Jul,99,69
2017 - Jul,87,58
2017 - Jul,90,55
2017 - Jul,85,51
2017 - Jul,90,65
2017 - Jul,91,66
2017 - Jul,83,63
2017 - Jul,77,61
2017 - Aug,85,63
2017 - Aug,89,67
2017 - Aug,86,60
2017 - Aug,99,57
2017 - Aug,93,52
2017 - Aug,96,60
2017 - Aug,106,60
2017 - Aug,116,68
2017 - Aug,115,62
2017 - Aug,120,58
2017 - Aug,132,59
2017 - Aug,136,64
2017 - Aug,137,63
