Date,ADAS,HFR Equity Hedge Index
2016-01-01,100.0,100.0
2016-01-04,100.259296627,99.0427181606
2016-01-05,100.714293738,98.8425986087
2016-01-06,100.775235849,98.2214483111
2016-01-07,101.194913933,97.6548760731
2016-01-08,100.879030131,97.1125607505
2016-01-11,101.333407187,96.6932626417
2016-01-12,101.72109975,96.7859587112
2016-01-13,102.790589559,96.3034193587
2016-01-14,103.387536642,96.1769368713
2016-01-15,104.163881158,95.4353683152
2016-01-18,104.163881103,95.4353683152
2016-01-19,104.777164355,94.9329036393
2016-01-20,104.468639374,94.2173246354
2016-01-21,102.994035475,94.4512306052
2016-01-22,102.334650096,95.2465109025
2016-01-25,103.407135063,94.9580268731
2016-01-26,102.504597593,95.2291845344
2016-01-27,102.225437322,94.736249361
2016-01-28,102.837734692,94.5326645354
2016-01-29,101.837750733,95.5038074693
2016-02-01,101.140660677,95.8260779166
2016-02-02,100.579112215,94.9424331418
2016-02-03,101.025199673,94.7527094107
2016-02-04,101.332228414,94.6418206546
2016-02-05,101.726827714,93.9271079691
2016-02-08,100.275105991,92.5929776228
2016-02-09,99.8822648134,92.2914988173
2016-02-10,100.384185158,92.4353076728
2016-02-11,99.2131165505,91.5646576741
2016-02-12,100.076758185,92.1407594145
2016-02-15,100.076758306,92.1407594145
2016-02-16,101.195437745,92.859803692
2016-02-17,101.355692223,93.5892437904
2016-02-18,101.800491748,93.5762490143
2016-02-19,101.387218712,93.4220443379
2016-02-22,102.34497557,94.0076755808
2016-02-23,102.178116567,93.6724103574
2016-02-24,102.493969553,93.6351586659
2016-02-25,102.841619021,94.0258682673
2016-02-26,103.390316543,94.3645987643
2016-02-29,103.587995169,94.4304389632
2016-03-01,103.909951924,95.3002226435
2016-03-02,104.123604033,95.4232398572
2016-03-03,104.216228786,95.6164288619
2016-03-04,104.334190569,95.8009546825
2016-03-07,105.006420743,95.8442706028
2016-03-08,104.407714997,95.1070336387
2016-03-09,105.049271333,95.4994758769
2016-03-10,104.755926151,95.5133369714
2016-03-11,104.847004706,96.1951295574
2016-03-14,104.427307943,96.1726052788
2016-03-15,103.7147837,95.7628366724
2016-03-16,103.707399579,96.1093640351
2016-03-17,104.268688057,96.3614626914
2016-03-18,104.457952743,96.5329937359
2016-03-21,104.776575946,96.7235837854
2016-03-22,105.992073958,96.8024187604
2016-03-23,105.329544562,96.3978480645
2016-03-24,105.773070507,96.435099756
2016-03-25,105.773070401,96.435099756
2016-03-28,105.064782135,96.3398047313
2016-03-29,105.06081578,96.7565038849
2016-03-30,104.394282242,96.9895435363
2016-03-31,104.732419568,97.0683785113
2016-04-01,104.778816286,97.0666458745
2016-04-04,105.50399682,96.9470939344
2016-04-05,105.782812238,96.4931430893
2016-04-06,106.392738123,96.8890506011
2016-04-07,107.261664701,96.4333671192
2016-04-08,107.893213776,96.6447488104
2016-04-11,107.494305664,96.6542783129
2016-04-12,108.372047435,96.7443754272
2016-04-13,107.746868401,97.3629267696
2016-04-14,107.918005737,97.3239424413
2016-04-15,108.210021861,97.1835988594
2016-04-18,109.080834416,97.3048834363
2016-04-19,109.143734843,97.6704698039
2016-04-20,109.062337211,97.6825982616
2016-04-21,109.442628294,97.6678708487
2016-04-22,109.021884296,97.6592076646
2016-04-25,109.428339665,97.3057497547
2016-04-26,109.445369074,97.5266609484
2016-04-27,108.89176497,97.6505444806
2016-04-28,108.843858132,97.3620604512
2016-04-29,109.441401175,97.0926354267
2016-05-02,108.852353985,97.1437482127
2016-05-03,109.695381845,96.6620751786
2016-05-04,110.331873111,96.22631702
2016-05-05,109.911174215,96.2185201543
2016-05-06,109.665217253,96.2089906518
2016-05-09,109.812405548,96.1240914479
2016-05-10,109.061815723,96.7625681136
2016-05-11,109.413710944,96.4558913976
2016-05-12,108.724175482,96.2609697561
2016-05-13,109.234668894,96.1544125921
2016-05-16,109.577561755,96.3259436366
2016-05-17,110.052128227,96.2393117959
2016-05-18,109.188268149,96.1994611492
2016-05-19,108.792408381,95.9153087118
2016-05-20,108.812805004,96.3813880146
2016-05-23,108.425667093,96.3372057759
2016-05-24,108.936592464,96.7417764718
2016-05-25,108.906956808,97.110828113
2016-05-26,108.828713813,97.0900364712
2016-05-27,108.868123256,97.3317393067
2016-05-30,108.868123251,97.3317393067
2016-05-31,109.092561317,97.5171314457
2016-06-01,110.003468202,97.5127998537
2016-06-02,110.62848181,97.6124264705
2016-06-03,110.156219965,97.6210896546
2016-06-06,110.622275123,97.8705893557
2016-06-07,111.128466321,98.0447193554
2016-06-08,111.527045488,98.0966984598
2016-06-09,111.441984423,97.7952196543
2016-06-10,110.097483385,97.059715327
2016-06-13,108.876285627,96.4281692085
2016-06-14,108.167879633,96.0729786618
2016-06-15,108.754921763,96.1578778657
2016-06-16,108.89387011,95.913576075
2016-06-17,109.058083173,95.9187739854
2016-06-20,109.458458848,96.2774298058
2016-06-21,110.158260757,96.256638164
2016-06-22,109.332479541,96.2869593082
2016-06-23,110.24248025,96.9141738346
2016-06-24,107.563911229,94.8497370715
2016-06-27,105.400887244,93.9297069236
2016-06-28,106.857616601,94.7535757283
2016-06-29,107.39321127,95.8191473685
2016-06-30,107.711823864,96.0833744825
2016-07-01,108.291994189,96.5078705018
2016-07-04,108.291994148,96.5078705018
2016-07-05,107.030405755,95.6952638364
2016-07-06,107.512569057,95.9066455276
2016-07-07,107.018606174,96.0227321941
2016-07-08,107.979008131,96.5832402032
2016-07-11,108.140524378,96.8543978645
2016-07-12,109.578565904,97.2823591574
2016-07-13,108.713538612,97.1602082621
2016-07-14,108.930083141,97.4798797542
2016-07-15,109.287689101,97.1991925904
2016-07-18,108.938833974,97.3897826399
2016-07-19,108.304320579,97.2814928391
2016-07-20,108.413629951,97.7640321916
2016-07-21,108.420967393,97.6730687589
2016-07-22,108.627618563,97.7952196542
2016-07-25,107.880719387,97.5153988088
2016-07-26,107.981713193,97.7787596044
2016-07-27,106.334414406,97.8792525396
2016-07-28,106.062494992,97.9398948281
2016-07-29,106.064672043,97.9970718429
2016-08-01,105.296971004,97.8350703009
2016-08-02,105.042185809,97.5725758237
2016-08-03,105.67788453,97.7778932861
2016-08-04,105.821173031,97.6488118435
2016-08-05,106.197537496,97.9762802012
2016-08-08,112.039442372,97.9243010968
2016-08-09,112.070153363,98.0109329375
2016-08-10,111.367131972,97.9754138828
2016-08-11,111.73292084,98.3617918922
2016-08-12,111.775265953,98.4726806483
2016-08-15,112.252802615,98.7923521404
2016-08-16,111.532570347,98.7048539813
2016-08-17,111.538942455,98.4094394046
2016-08-18,112.029669273,98.516862887
2016-08-19,111.561217436,98.312411743
2016-08-22,111.278352596,98.3929793548
2016-08-23,111.45781028,98.5056007477
2016-08-24,111.06837905,98.2751600515
2016-08-25,110.946418896,98.205854579
2016-08-26,110.877800876,98.0507835842
2016-08-29,111.561926906,98.052516221
2016-08-30,111.715471555,98.0412540817
2016-08-31,111.785213421,97.820342888
2016-09-01,111.986803082,98.0689762707
2016-09-02,112.690794712,98.3435992056
2016-09-05,112.690794677,98.3435992056
2016-09-06,112.8384519,98.7473035831
2016-09-07,113.393935136,98.9734126872
2016-09-08,113.902279512,98.9171019908
2016-09-09,113.247977688,98.2968180116
2016-09-12,113.528322012,98.2968180116
2016-09-13,113.20678861,97.9303653256
2016-09-14,113.218582463,97.9892749773
2016-09-15,112.861653803,98.2621652754
2016-09-16,113.410338631,98.2240472655
2016-09-19,113.844999494,98.5073333845
2016-09-20,113.962593471,98.4822101507
2016-09-21,113.624846682,98.7654962697
2016-09-22,113.307450389,99.0141296524
2016-09-23,114.016034908,99.0548466175
2016-09-26,114.069313664,98.7784910458
2016-09-27,113.877883455,99.0305897021
2016-09-28,113.787678359,99.3961760697
2016-09-29,113.045604458,99.0245254732
2016-09-30,112.427482987,99.3130095026
2016-10-03,112.65242528,99.4308288059
2016-10-04,112.555731322,99.467214179
2016-10-05,112.588120153,99.6396115419
2016-10-06,112.41158193,99.5659744773
2016-10-07,111.779867842,99.4620162685
2016-10-10,111.779867842,99.7305749746
2016-10-11,110.821278275,99.2315755724
2016-10-12,110.960032013,98.9976696026
2016-10-13,110.826858709,99.0167286075
2016-10-14,111.013338972,98.9326957221
2016-10-17,110.490030939,98.7499025383
2016-10-18,110.477199547,99.0652424383
2016-10-19,110.636350498,99.1458100501
2016-10-20,110.523965932,99.3078115921
2016-10-21,110.4384646,99.1917249256
2016-10-24,110.458553069,99.24370403
2016-10-25,110.292664332,99.1198204978
2016-10-26,109.901677478,98.9110377618
2016-10-27,110.002099853,98.6788644288
2016-10-28,110.062278884,98.5480503494
2016-10-31,110.182789157,98.4761459216
2016-11-01,109.973601398,98.1287522405
2016-11-02,109.597729951,97.6488118432
2016-11-03,109.761915463,97.2251821423
2016-11-04,109.990490802,97.1801335852
2016-11-07,110.51847613,97.9312316438
2016-11-08,110.299456944,97.9910076139
2016-11-09,111.728491176,98.6702012447
2016-11-10,110.75467825,99.5711723876
2016-11-11,111.766259905,99.2497682587
2016-11-14,112.97250326,99.3493948755
2016-11-15,113.818912611,99.4680804972
2016-11-16,113.620163414,99.3060789552
2016-11-17,114.608604143,99.3745181093
2016-11-18,115.064443275,99.4819415917
2016-11-21,115.218288886,99.5564449747
2016-11-22,116.178369457,99.6179535816
2016-11-23,117.064496537,99.5469154723
2016-11-24,117.064496537,99.5469154723
2016-11-25,117.136282844,99.8951754718
2016-11-28,116.96856705,99.6595368652
2016-11-29,117.40709875,99.6768632333
2016-11-30,116.856561687,99.9202987056
2016-12-01,116.68574506,99.8596564171
2016-12-02,116.94362971,99.661269502
2016-12-05,117.957959135,99.9454219394
2016-12-06,119.440879118,100.203584825
2016-12-07,120.390248303,100.522389999
2016-12-08,120.696417135,100.792681342
2016-12-09,120.770926577,100.821269849
2016-12-12,121.422282917,100.598626018
2016-12-13,122.976485511,100.914832236
2016-12-14,121.205339365,100.391575918
2016-12-15,121.218748483,100.581299649
2016-12-16,121.32345506,100.664466216
2016-12-19,121.799207248,100.375982187
2016-12-20,121.406376886,100.627214525
2016-12-21,120.377716991,100.419298107
2016-12-22,120.34574591,100.112621391
2016-12-23,121.087306095,100.253831291
2016-12-26,121.087306095,100.253831291
2016-12-27,121.507674859,100.202718505
2016-12-28,120.517990345,100.019925321
2016-12-29,121.326045059,100.051112784
2016-12-30,120.620305869,100.099626615
2017-01-02,120.620305869,100.099626615
2017-01-03,121.213032551,100.369917958
2017-01-04,121.946355207,100.875847907
2017-01-05,121.830389587,100.941688106
2017-01-06,122.333470408,100.764959151
2017-01-09,122.268910984,100.755429649
2017-01-10,122.200610733,100.894040594
2017-01-11,122.805659243,101.1955194
2017-01-12,122.270117702,101.040448405
2017-01-13,122.144498336,101.23363741
2017-01-16,122.144498336,101.23363741
2017-01-17,121.831837648,100.873248953
2017-01-18,121.640331468,100.926960694
2017-01-19,121.858023433,100.90183746
2017-01-20,121.861402244,100.929559649
2017-01-23,121.946717221,100.758894923
2017-01-24,122.009345896,101.1955194
2017-01-25,121.607146717,101.649470245
2017-01-26,121.897483118,101.667662932
2017-01-27,122.084645112,101.452815967
2017-01-30,122.221848972,100.985004027
2017-01-31,121.587959897,100.946886017
2017-02-01,121.418898676,101.1955194
2017-02-02,121.047108796,101.100224375
2017-02-03,121.720940244,101.523854076
2017-02-06,121.300640292,101.340194574
2017-02-07,121.429397125,101.289948106
2017-02-08,121.124097418,101.261359599
2017-02-09,120.88830468,101.583630046
2017-02-10,121.688358852,101.854787707
2017-02-13,121.981953392,102.054040941
2017-02-14,122.297148188,102.385840891
2017-02-15,122.731687415,102.684720741
2017-02-16,122.978702632,102.475938005
2017-02-17,123.022385831,102.388439846
2017-02-20,123.022385831,102.388439846
2017-02-21,123.187464882,102.508858105
2017-02-22,123.36292171,102.496729647
2017-02-23,123.176363075,102.271486861
2017-02-24,123.30125841,102.072233627
2017-02-27,123.640346227,102.32606492
2017-02-28,122.519063667,102.127678005
2017-03-01,123.870226045,102.89696875
2017-03-02,121.069312411,102.737566163
2017-03-03,121.183347282,102.911696163
2017-03-06,121.180813174,102.634474273
2017-03-07,121.46354725,102.449948452
2017-03-08,120.404651998,102.540911885
2017-03-09,120.899285816,102.414429398
2017-03-10,121.395367672,102.629276363
2017-03-13,121.583495041,102.673458602
2017-03-14,121.226306451,102.525318154
2017-03-15,122.336245859,103.067633477
2017-03-16,121.745557296,103.106617805
2017-03-17,123.3681106,103.043376561
2017-03-20,123.907272296,102.955012084
2017-03-21,123.014662837,102.429156811
2017-03-22,123.412035143,102.329530194
2017-03-23,122.590260043,102.496729646
2017-03-24,122.773198523,102.436087358
2017-03-27,122.416130605,102.32086701
2017-03-28,122.608602159,102.438686313
2017-03-29,122.869011948,102.709843974
2017-03-30,122.767285603,102.78261472
2017-03-31,123.596548376,102.799941088
2017-04-03,123.096178007,102.574698302
2017-04-04,122.372931648,102.511457058
2017-04-05,122.115668376,102.445616859
2017-04-06,122.73661044,102.605019446
2017-04-07,122.441525745,102.595489944
2017-04-10,122.760062588,102.614548949
2017-04-11,123.622441342,102.523585516
2017-04-12,123.405032956,102.440418949
2017-04-13,122.629630902,102.230769895
2017-04-17,123.191213388,102.455146362
2017-04-18,122.341816508,102.255893128
2017-04-19,122.528262918,102.283615317
2017-04-20,122.986906222,102.636206909
2017-04-21,122.813327048,102.579896213
2017-04-24,123.37198207,103.240030839
2017-04-25,123.801396436,103.635938351
2017-04-26,123.586106935,103.630740441
2017-04-27,123.455629322,103.514653775
2017-04-28,123.270266545,103.538044372
2017-05-01,123.723418353,103.616013029
2017-05-02,123.984641471,103.850785317
2017-05-03,123.629062643,103.624676213
2017-05-04,123.539088527,103.634205715
2017-05-05,124.274618341,103.920090789
2017-05-08,123.549385481,103.732099695
2017-05-09,123.332590108,103.680986909
2017-05-10,121.924736108,103.77281666
2017-05-11,121.768807601,103.566632879
2017-05-12,122.241022984,103.450546213
2017-05-15,122.352918488,103.689650093
2017-05-16,122.4920217,103.715639645
2017-05-17,122.030620926,102.9463489
2017-05-18,122.013989936,102.9463489
2017-05-19,122.798030958,103.399433427
2017-05-22,123.298507705,103.342256412
2017-05-23,124.019058455,103.276416213
2017-05-24,124.016790888,103.310202631
2017-05-25,123.470638662,103.21837288
2017-05-26,123.014264949,103.199313875
2017-05-30,122.066993313,102.925557258
2017-05-31,121.884448223,102.949814173
2017-06-01,122.373829234,103.409829247
2017-06-02,123.234902242,103.670591087
2017-06-05,122.004145118,103.478268401
2017-06-06,121.524106734,103.25042666
2017-06-07,120.695411309,103.279015167
2017-06-08,121.867022058,103.453145167
2017-06-09,122.628460373,103.664526858
2017-06-12,122.955220633,103.360449097
2017-06-13,124.303413041,103.634205714
2017-06-14,123.056753089,103.492129495
2017-06-15,122.68736026,103.137805267
2017-06-16,123.106300016,103.374310192
2017-06-19,123.388128661,103.762420838
2017-06-20,122.996358681,103.350919595
2017-06-21,122.911218899,103.490396858
2017-06-22,122.424765994,103.520718002
2017-06-23,123.152929828,103.66885845
2017-06-26,123.448783602,103.759821883
2017-06-27,122.816291054,103.490396859
2017-06-28,123.852303851,103.972936212
2017-06-29,123.126437181,103.742495516
2017-06-30,122.971091932,103.836924222
2017-07-03,123.667523049,104.020583724
2017-07-05,123.861513455,104.139269346
2017-07-06,122.289049745,103.859448501
2017-07-07,122.697386812,104.004123675
2017-07-10,122.065407664,104.069963874
2017-07-11,122.283100823,104.165258899
2017-07-12,122.565282733,104.501390441
2017-07-13,122.085292315,104.582824371
2017-07-14,122.013277241,104.772548102
2017-07-17,122.006248131,104.748291187
2017-07-18,122.450354499,104.576760142
2017-07-19,123.378790468,104.99086034
2017-07-20,123.133347481,105.108679643
2017-07-21,123.196596169,104.93108437
2017-07-24,122.851619655,104.989994022
2017-07-25,122.983626157,105.100882778
2017-07-26,122.222496508,105.307066559
2017-07-27,122.506347866,104.961405515
2017-07-28,122.374584884,104.851383077
2017-07-31,122.876131219,104.739628003
2017-08-01,122.677613425,104.792473426
2017-08-02,122.124642739,104.720568998
2017-08-03,122.846104711,104.510919944
2017-08-04,123.048940106,104.633070839
2017-08-07,123.076805612,104.931950689
2017-08-08,122.492475121,104.805468202
2017-08-09,122.940789704,104.417357556
2017-08-10,121.896340964,103.596954025
2017-08-11,121.581754619,103.571830791
2017-08-14,122.122371108,104.102883974
2017-08-15,121.982176115,104.048305914
2017-08-16,121.948811418,104.25708865
2017-08-17,120.072690014,103.803137805
2017-08-18,120.314317387,103.825662084
2017-08-21,120.072248889,103.635072035
2017-08-22,120.379832056,104.160927308
2017-08-23,120.290090283,104.348918402
2017-08-24,120.695354504,104.398298551
2017-08-25,120.950695886,104.56203273
2017-08-28,120.935820079,104.529978949
2017-08-29,121.289182744,104.296939298
2017-08-30,121.580097032,104.700643676
2017-08-31,123.057943598,105.25855273
2017-09-01,123.843013296,105.560031536
2017-09-05,122.791868734,105.261151686
2017-09-06,123.185179473,105.311398154
2017-09-07,121.893175083,105.441345915
2017-09-08,121.589127912,105.423153228
2017-09-11,123.182890233,105.770546909
2017-09-12,124.677438073,106.135266958
2017-09-13,125.437397863,106.10148054
2017-09-14,125.36048101,106.2643484
2017-09-15,125.406957778,106.393429843
2017-09-18,126.24785729,106.703571833
2017-09-19,125.712267969,106.723497156
2017-09-20,125.716530671,106.71050238
2017-09-21,125.381460379,106.87337024
2017-09-22,125.121395469,106.896760837
2017-09-25,125.151022948,106.648127454
2017-09-26,124.993587386,106.483526957
2017-09-27,125.803946931,106.822257454
2017-09-28,126.080476179,106.946140986
2017-09-29,126.152594716,107.17225009
2017-10-02,126.773618302,107.446873025
2017-10-03,127.123115093,107.691174816
2017-10-04,126.630697257,107.839315264
2017-10-05,126.958401014,107.897358597
2017-10-06,126.922189529,107.865304816
2017-10-09,126.532338069,107.833251035
2017-10-10,126.742765937,108.008247353
2017-10-11,126.299091398,108.076686507
2017-10-12,126.290984716,107.974460935
2017-10-13,126.039463331,107.986589393
2017-10-16,125.967973688,107.973594617
2017-10-17,126.087848645,107.81419203
2017-10-18,125.848282811,107.861839542
2017-10-19,125.773806045,107.786469841
2017-10-20,125.574966488,107.939808199
2017-10-23,125.561947624,107.747485513
2017-10-24,125.281909221,107.864438498
2017-10-25,125.232012954,107.717164369
2017-10-26,125.232173676,107.497119494
2017-10-27,126.392588171,107.846245812
2017-10-30,126.023229629,107.899091235
2017-10-31,125.596555713,108.01604422
2017-11-01,124.990460742,108.197104767
2017-11-02,124.873503093,107.998717852
2017-11-03,124.723274159,108.13559616
2017-11-06,124.657833387,108.702168398
2017-11-07,123.81380816,108.17891208
2017-11-08,124.068773373,108.017776856
2017-11-09,123.611991554,107.671249493
2017-11-10,123.74276858,107.85750795
2017-11-13,124.112143829,107.595879791
2017-11-14,123.508263404,107.358508548
2017-11-15,123.032315259,107.050099195
2017-11-16,123.587093022,107.568157602
2017-11-17,124.05697034,107.758747651
2017-11-20,124.796120955,107.752683422
2017-11-21,125.248412268,108.332250436
2017-11-22,126.063178501,108.454401331
2017-11-24,125.907754793,108.474326654
2017-11-27,125.769974687,108.081018097
2017-11-28,126.068845857,108.608606007
2017-11-29,126.359209361,108.74808327
2017-11-30,126.534350471,108.961197598
2017-12-01,125.493122183,108.787067598
2017-12-04,126.189260316,108.814789787
2017-12-05,125.469527416,108.288068196
2017-12-06,125.061419744,107.782138247
2017-12-07,124.974042711,108.121735062
2017-12-08,124.734196435,108.750682225
2017-12-11,124.764926513,108.846843568
