Date,Long Positions,Short Positions
2016 - Jan,46,-64
2016 - Jan,40,-48
2016 - Jan,37,-45
2016 - Jan,33,-46
2016 - Jan,28,-45
2016 - Jan,27,-47
2016 - Jan,21,-43
2016 - Jan,24,-44
2016 - Jan,22,-45
2016 - Jan,22,-42
2016 - Jan,22,-41
2016 - Jan,16,-36
2016 - Jan,15,-40
2016 - Jan,14,-45
2016 - Jan,12,-41
2016 - Jan,12,-43
2016 - Jan,12,-38
2016 - Jan,13,-40
2016 - Jan,13,-38
2016 - Jan,14,-37
2016 - Jan,17,-34
2016 - Feb,19,-29
2016 - Feb,16,-33
2016 - Feb,18,-37
2016 - Feb,22,-52
2016 - Feb,23,-60
2016 - Feb,26,-55
2016 - Feb,29,-66
2016 - Feb,32,-73
2016 - Feb,34,-76
2016 - Feb,36,-79
2016 - Feb,38,-86
2016 - Feb,46,-82
2016 - Feb,50,-67
2016 - Feb,49,-60
2016 - Feb,51,-78
2016 - Feb,58,-74
2016 - Feb,62,-82
2016 - Feb,63,-94
2016 - Feb,68,-109
2016 - Feb,70,-121
2016 - Feb,75,-121
2016 - Mar,75,-115
2016 - Mar,77,-113
2016 - Mar,78,-110
2016 - Mar,82,-131
2016 - Mar,84,-138
2016 - Mar,86,-153
2016 - Mar,89,-180
2016 - Mar,85,-203
2016 - Mar,82,-190
2016 - Mar,70,-191
2016 - Mar,71,-201
2016 - Mar,73,-206
2016 - Mar,77,-175
2016 - Mar,78,-159
2016 - Mar,73,-166
2016 - Mar,76,-157
2016 - Mar,76,-164
2016 - Mar,75,-172
2016 - Mar,69,-179
2016 - Mar,57,-179
2016 - Mar,62,-166
2016 - Mar,55,-158
2016 - Mar,51,-148
2016 - Apr,54,-147
2016 - Apr,50,-136
2016 - Apr,50,-148
2016 - Apr,51,-161
2016 - Apr,49,-174
2016 - Apr,44,-173
2016 - Apr,39,-164
2016 - Apr,39,-155
2016 - Apr,39,-138
2016 - Apr,38,-128
2016 - Apr,34,-113
2016 - Apr,24,-93
2016 - Apr,24,-90
2016 - Apr,24,-89
2016 - Apr,23,-86
2016 - Apr,20,-79
2016 - Apr,16,-84
2016 - Apr,16,-87
2016 - Apr,18,-93
2016 - Apr,18,-92
2016 - Apr,16,-102
2016 - May,9,-101
2016 - May,10,-111
2016 - May,9,-113
2016 - May,6,-110
2016 - May,9,-107
2016 - May,9,-97
2016 - May,10,-98
2016 - May,13,-100
2016 - May,13,-96
2016 - May,16,-96
2016 - May,18,-91
2016 - May,18,-92
2016 - May,22,-88
2016 - May,25,-83
2016 - May,27,-75
2016 - May,28,-63
2016 - May,30,-58
2016 - May,30,-47
2016 - May,31,-41
2016 - May,31,-33
2016 - May,34,-17
2016 - May,34,-15
2016 - Jun,35,-13
2016 - Jun,35,-10
2016 - Jun,35,-8
2016 - Jun,35,-9
2016 - Jun,38,-10
2016 - Jun,39,-11
2016 - Jun,37,-12
2016 - Jun,36,-12
2016 - Jun,26,-12
2016 - Jun,23,-12
2016 - Jun,26,-12
2016 - Jun,25,-12
2016 - Jun,27,-13
2016 - Jun,26,-15
2016 - Jun,29,-16
2016 - Jun,31,-16
2016 - Jun,31,-15
2016 - Jun,26,-15
2016 - Jun,21,-15
2016 - Jun,20,-15
2016 - Jun,21,-15
2016 - Jun,20,-12
2016 - Jul,20,-13
2016 - Jul,20,-12
2016 - Jul,21,-13
2016 - Jul,23,-14
2016 - Jul,20,-12
2016 - Jul,20,-13
2016 - Jul,20,-12
2016 - Jul,20,-10
2016 - Jul,20,-10
2016 - Jul,19,-12
2016 - Jul,19,-13
2016 - Jul,17,-13
2016 - Jul,18,-13
2016 - Jul,22,-13
2016 - Jul,19,-15
2016 - Jul,19,-13
2016 - Jul,15,-13
2016 - Jul,15,-15
2016 - Jul,15,-13
2016 - Jul,12,-13
2016 - Jul,12,-12
2016 - Aug,9,-11
2016 - Aug,10,-10
2016 - Aug,11,-8
2016 - Aug,12,-10
2016 - Aug,14,-10
2016 - Aug,16,-8
2016 - Aug,18,-7
2016 - Aug,17,-7
2016 - Aug,18,-10
2016 - Aug,19,-14
2016 - Aug,19,-13
2016 - Aug,20,-16
2016 - Aug,22,-20
2016 - Aug,24,-25
2016 - Aug,26,-25
2016 - Aug,23,-24
2016 - Aug,24,-22
2016 - Aug,29,-22
2016 - Aug,29,-21
2016 - Aug,28,-22
2016 - Aug,29,-24
2016 - Aug,34,-25
2016 - Aug,34,-28
2016 - Sep,31,-28
2016 - Sep,32,-30
2016 - Sep,31,-28
2016 - Sep,31,-29
2016 - Sep,32,-32
2016 - Sep,30,-30
2016 - Sep,27,-34
2016 - Sep,24,-34
2016 - Sep,20,-37
2016 - Sep,23,-39
2016 - Sep,23,-40
2016 - Sep,23,-39
2016 - Sep,20,-39
2016 - Sep,21,-41
2016 - Sep,23,-41
2016 - Sep,24,-33
2016 - Sep,26,-34
2016 - Sep,22,-30
2016 - Sep,20,-31
2016 - Sep,21,-30
2016 - Sep,19,-28
2016 - Sep,19,-26
2016 - Oct,18,-19
2016 - Oct,17,-19
2016 - Oct,16,-19
2016 - Oct,16,-17
2016 - Oct,18,-17
2016 - Oct,13,-13
2016 - Oct,13,-13
2016 - Oct,12,-9
2016 - Oct,14,-9
2016 - Oct,10,-8
2016 - Oct,13,-8
2016 - Oct,14,-8
2016 - Oct,14,-8
2016 - Oct,13,-6
2016 - Oct,10,-4
2016 - Oct,11,-5
2016 - Oct,12,-5
2016 - Oct,12,-6
2016 - Oct,10,-4
2016 - Oct,10,-3
2016 - Nov,11,-3
2016 - Nov,8,-3
2016 - Nov,9,-3
2016 - Nov,12,-7
2016 - Nov,13,-9
2016 - Nov,12,-9
2016 - Nov,13,-11
2016 - Nov,15,-12
2016 - Nov,21,-12
2016 - Nov,21,-10
2016 - Nov,27,-10
2016 - Nov,27,-13
2016 - Nov,31,-17
2016 - Nov,40,-20
2016 - Nov,40,-23
2016 - Nov,42,-27
2016 - Nov,46,-28
2016 - Nov,43,-24
2016 - Nov,43,-22
2016 - Nov,42,-21
2016 - Dec,35,-21
2016 - Dec,35,-21
2016 - Dec,34,-21
2016 - Dec,38,-21
2016 - Dec,40,-19
2016 - Dec,40,-18
2016 - Dec,38,-15
2016 - Dec,35,-13
2016 - Dec,36,-13
2016 - Dec,34,-13
2016 - Dec,32,-13
2016 - Dec,28,-11
2016 - Dec,20,-8
2016 - Dec,23,-8
2016 - Dec,23,-8
2016 - Dec,21,-5
2016 - Dec,23,-3
2016 - Dec,20,-1
2016 - Dec,18,-1
2016 - Dec,17,-1
2016 - Dec,16,-1
2017 - Jan,13,0
2017 - Jan,13,0
2017 - Jan,13,0
2017 - Jan,12,-20
2017 - Jan,11,-25
2017 - Jan,11,-25
2017 - Jan,12,-25
2017 - Jan,10,-25
2017 - Jan,10,-25
2017 - Jan,10,-22
2017 - Jan,10,-22
2017 - Jan,9,-20
2017 - Jan,7,-21
2017 - Jan,2,-22
2017 - Jan,2,-23
2017 - Jan,2,-21
2017 - Jan,1,-18
2017 - Jan,1,-17
2017 - Jan,1,-16
2017 - Jan,1,-14
