Date,ADAS,HFR Equity Hedge Index
2016-01-02,100.0,100.0
2016-01-03,100.0,100.0
2016-01-04,100.0,99.0427181606
2016-01-05,100.114430397,98.8425986087
2016-01-06,100.56735399,98.2214483111
2016-01-07,100.761019796,97.6548760731
2016-01-08,101.267279257,97.1125607505
2016-01-09,101.267279257,97.1125607505
2016-01-10,101.267279257,97.1125607505
2016-01-11,101.010587557,96.6932626417
2016-01-12,101.530611096,96.7859587112
2016-01-13,101.914603981,96.3034193587
2016-01-14,102.932184192,96.1769368713
2016-01-15,103.581500263,95.4353683152
2016-01-16,103.581500263,95.4353683152
2016-01-17,103.581500263,95.4353683152
2016-01-18,104.458183967,95.4353683152
2016-01-19,104.458183905,94.9329036393
2016-01-20,105.167126054,94.2173246354
2016-01-21,104.840312765,94.4512306052
2016-01-22,103.411768802,95.2465109025
2016-01-23,103.411768802,95.2465109025
2016-01-24,103.411768802,95.2465109025
2016-01-25,102.762389588,94.9580268731
2016-01-26,103.88188132,95.2291845344
2016-01-27,102.962739222,94.736249361
2016-01-28,102.671233488,94.5326645354
2016-01-29,103.065650851,95.5038074693
2016-01-30,103.065650851,95.5038074693
2016-01-31,103.065650851,95.5038074693
2016-02-01,102.596878577,95.8260779166
2016-02-02,101.821410927,94.9424331418
2016-02-03,101.117107112,94.7527094107
2016-02-04,101.698478986,94.6418206546
2016-02-05,102.364540339,93.9271079691
2016-02-06,102.364540339,93.9271079691
2016-02-07,102.364540339,93.9271079691
2016-02-08,102.842789432,92.5929776228
2016-02-09,101.241020334,92.2914988173
2016-02-10,100.815873831,92.4353076728
2016-02-11,101.296738027,91.5646576741
2016-02-12,100.28603516,92.1407594145
2016-02-13,100.28603516,92.1407594145
2016-02-14,100.28603516,92.1407594145
2016-02-15,101.031779059,92.1407594145
2016-02-16,101.031779194,92.859803692
2016-02-17,101.942806486,93.5892437904
2016-02-18,102.003926243,93.5762490143
2016-02-19,102.462562191,93.4220443379
2016-02-20,102.462562191,93.4220443379
2016-02-21,102.462562191,93.4220443379
2016-02-22,102.066744997,94.0076755808
2016-02-23,102.918015555,93.6724103574
2016-02-24,102.786836343,93.6351586659
2016-02-25,103.171873135,94.0258682673
2016-02-26,103.362217628,94.3645987643
2016-02-27,103.362217628,94.3645987643
2016-02-28,103.362217628,94.3645987643
2016-02-29,103.889441713,94.4304389632
2016-03-01,104.064401078,95.3002226435
2016-03-02,104.235529784,95.4232398572
2016-03-03,104.387338999,95.6164288619
2016-03-04,104.502564261,95.8009546825
2016-03-05,104.502564261,95.8009546825
2016-03-06,104.502564261,95.8009546825
2016-03-07,104.551434526,95.8442706028
2016-03-08,105.160029878,95.1070336387
2016-03-09,104.592174037,95.4994758769
2016-03-10,105.245963599,95.5133369714
2016-03-11,104.985573755,96.1951295574
2016-03-12,104.985573755,96.1951295574
2016-03-13,104.985573755,96.1951295574
2016-03-14,104.96373969,96.1726052788
2016-03-15,104.579810933,95.7628366724
2016-03-16,103.889017847,96.1093640351
2016-03-17,103.930589412,96.3614626914
2016-03-18,103.707698298,96.5329937359
2016-03-19,103.707698298,96.5329937359
2016-03-20,103.707698298,96.5329937359
2016-03-21,103.91424614,96.7235837854
2016-03-22,104.075910814,96.8024187604
2016-03-23,105.692344148,96.3978480645
2016-03-24,104.985708571,96.435099756
2016-03-25,105.269056267,96.435099756
2016-03-26,105.269056267,96.435099756
2016-03-27,105.269056267,96.435099756
2016-03-28,105.269056181,96.3398047313
